step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,3,7.0
20.0,-0.07,8,43.0
25.0,-0.36,10,85.0
30.0,-0.42,10,135.0
35.0,-0.5000000000000001,6,136.0
40.0,0.030000000000000027,8,156.0
45.0,-0.3999999999999999,7,179.0
50.0,-0.32000000000000006,8,212.0
55.0,-0.5299999999999998,12,269.0
60.0,-0.6000000000000001,12,329.0
65.0,-0.6400000000000001,14,395.0
70.0,-0.6400000000000001,6,242.0
75.0,1.33,8,199.0
80.0,0.3999999999999999,8,239.0
85.0,-0.5499999999999998,11,282.0
90.0,-0.5800000000000001,15,351.0
95.0,-0.7800000000000002,16,431.0
100.0,-0.8300000000000001,18,518.0
105.0,-0.8999999999999995,18,608.0
110.0,-0.8999999999999995,11,484.0
115.0,0.8799999999999999,9,388.0
120.0,0.96,10,424.0
125.0,-0.6200000000000001,16,495.0
130.0,-0.7699999999999996,16,575.0
135.0,-0.8000000000000007,17,658.0
140.0,-0.8700000000000001,18,748.0
145.0,-0.8999999999999995,16,777.0
150.0,0.009999999999999787,14,797.0
155.0,-0.4299999999999997,14,840.0
160.0,-0.4299999999999997,20,911.0
165.0,-1.0500000000000007,20,1011.0
170.0,-1.0,20,1111.0
175.0,-1.0199999999999996,22,1221.0
180.0,-1.0999999999999996,23,1332.0
185.0,-1.120000000000001,24,1449.0
190.0,-1.1799999999999997,24,1569.0
195.0,-1.1999999999999993,26,1622.0
200.0,-0.490000000000002,23,1659.0
205.0,-0.8299999999999983,24,1773.0
210.0,-0.8299999999999983,22,1873.0
215.0,-1.4800000000000004,22,1983.0
220.0,-1.0999999999999979,23,2094.0
225.0,-1.5900000000000034,24,2214.0
230.0,-1.2099999999999973,30,2350.0
235.0,-1.5100000000000016,30,2479.0
240.0,-1.6499999999999986,28,2607.0
245.0,-1.4400000000000013,30,2753.0
250.0,-1.5,30,2903.0
255.0,-1.5199999999999996,32,3057.0
260.0,-1.6000000000000014,32,3217.0
265.0,-1.6799999999999997,37,3390.0
270.0,-1.8699999999999974,38,3578.0
275.0,-1.8999999999999986,38,3768.0
280.0,-1.970000000000006,40,3967.0
285.0,-2.0,40,4167.0
290.0,-2.019999999999996,42,4371.0
295.0,-2.1000000000000014,42,4581.0
300.0,-2.240000000000002,50,4813.0
305.0,-2.5,50,5063.0
310.0,-2.5,50,5313.0
315.0,-2.5,45,5357.0
320.0,-0.779999999999994,39,5327.0
325.0,-0.25,40,5511.0
330.0,-2.690000000000005,45,5725.0
335.0,-2.3599999999999994,50,5971.0
340.0,-2.539999999999999,52,6229.0
345.0,-2.6000000000000014,52,6489.0
350.0,-2.6000000000000014,44,6555.0
355.0,-1.6999999999999957,44,6679.0
360.0,-1.240000000000009,43,6862.0
365.0,-2.7099999999999937,46,7087.0
370.0,-2.3299999999999983,50,7333.0
375.0,-2.5400000000000063,54,7596.0
380.0,-2.6700000000000017,54,7866.0
385.0,-2.6999999999999886,55,8137.0
390.0,-2.75,56,8417.0
395.0,-2.8000000000000114,56,8697.0
400.0,-2.8299999999999983,58,8217.0
405.0,10.13000000000001,48,7847.0
410.0,5.8999999999999915,52,7261.0
415.0,5.8999999999999915,54,7516.0
420.0,-3.6099999999999994,56,7789.0
425.0,-2.75,56,8069.0
430.0,-2.799999999999997,56,8349.0
435.0,-2.8100000000000023,58,8637.0
440.0,-2.8900000000000006,58,8927.0
445.0,-2.8999999999999915,57,9045.0
450.0,-0.5700000000000074,49,8999.0
455.0,0.7800000000000011,46,9004.0
460.0,0.7800000000000011,47,9219.0
465.0,-2.549999999999997,54,9476.0
470.0,-2.5700000000000074,56,9751.0
475.0,-2.75,56,10031.0
480.0,-2.799999999999997,52,10184.0
485.0,-1.5300000000000011,44,10244.0
490.0,-0.9399999999999977,44,9606.0
495.0,13.060000000000002,40,9012.0
500.0,12.920000000000002,33,7713.0
505.0,12.920000000000002,28,7833.0
510.0,-1.75,26,7963.0
515.0,-1.3400000000000034,34,8113.0
520.0,-1.6200000000000045,44,8318.0
525.0,-2.1099999999999994,50,8552.0
530.0,-2.4099999999999966,52,8811.0
535.0,-2.5999999999999943,52,9071.0
540.0,-2.6000000000000085,54,9334.0
545.0,-2.6499999999999915,54,9604.0
550.0,-2.719999999999999,60,9893.0
555.0,-2.930000000000007,56,10026.0
560.0,-0.769999999999996,46,9991.0
565.0,0.23999999999999488,45,10042.0
570.0,0.23999999999999488,46,10257.0
575.0,-2.509999999999991,52,10508.0
580.0,-2.510000000000005,57,10780.0
585.0,-2.719999999999999,51,10216.0
590.0,13.009999999999991,45,8851.0
595.0,13.030000000000001,37,8288.0
600.0,-2.5799999999999983,37,8471.0
605.0,-1.8699999999999903,41,8662.0
610.0,-2.1400000000000006,47,8882.0
615.0,-2.490000000000009,55,9139.0
620.0,-2.8299999999999983,60,9427.0
625.0,-3.0999999999999943,63,9740.0
630.0,-3.1500000000000057,63,10055.0
635.0,-3.1899999999999977,65,10376.0
640.0,-3.1899999999999977,57,9509.0
645.0,7.469999999999999,59,9159.0
650.0,3.4599999999999937,57,9335.0
655.0,-2.8999999999999915,63,9630.0
660.0,-3.1099999999999994,63,9945.0
665.0,-3.1599999999999966,65,10265.0
670.0,-3.280000000000001,67,10597.0
675.0,-3.280000000000001,59,10323.0
680.0,1.3999999999999915,52,9983.0
