step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,5,7.0
20.0,-0.22,7,36.0
25.0,-0.24999999999999997,6,53.0
30.0,-0.24999999999999997,4,54.0
35.0,0.0,4,63.0
40.0,-0.36,9,101.0
45.0,-0.36,6,113.0
50.0,-0.29999999999999993,8,147.0
55.0,-0.55,11,198.0
60.0,-0.6599999999999999,13,247.0
65.0,-0.6500000000000004,13,312.0
70.0,-0.73,15,387.0
75.0,-0.73,12,390.0
80.0,-0.2999999999999994,12,442.0
85.0,-0.5200000000000005,16,511.0
90.0,-1.08,18,598.0
95.0,-0.8999999999999995,20,692.0
100.0,-1.0500000000000007,22,801.0
