step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,1,1.0
35.0,0.0,1,6.0
40.0,0.0,2,12.0
45.0,0.0,3,9.0
50.0,-0.04,2,12.0
55.0,0.03,3,27.0
60.0,0.03,4,42.0
65.0,-0.09000000000000001,4,50.0
70.0,-0.03,4,70.0
75.0,-0.13,5,94.0
80.0,-0.13,6,90.0
85.0,0.19,7,125.0
90.0,-0.1,7,147.0
95.0,-0.1,8,186.0
100.0,-0.15999999999999998,9,230.0
105.0,-0.15999999999999998,5,123.0
110.0,0.06,9,154.0
115.0,-0.13,9,199.0
120.0,-0.19999999999999996,11,254.0
125.0,-0.3500000000000001,7,182.0
130.0,0.31000000000000005,6,118.0
135.0,0.31000000000000005,10,134.0
140.0,-0.31000000000000005,11,171.0
145.0,-0.45999999999999996,13,218.0
150.0,-0.45999999999999996,16,293.0
155.0,-0.7300000000000002,11,200.0
160.0,1.4200000000000004,8,156.0
165.0,0.31999999999999995,10,186.0
170.0,0.31999999999999995,9,194.0
175.0,0.3,8,214.0
180.0,-0.07,2,109.0
185.0,-0.07,3,49.0
190.0,-0.07,4,35.0
195.0,0.34,4,55.0
200.0,0.0,4,75.0
205.0,0.0,7,104.0
210.0,-0.08,6,129.0
215.0,-0.009999999999999995,6,159.0
220.0,-0.05000000000000002,8,194.0
225.0,-0.05000000000000002,9,239.0
230.0,-0.06999999999999998,11,293.0
235.0,-0.09,12,353.0
240.0,-0.14,10,379.0
245.0,-0.14,10,419.0
250.0,-0.03999999999999998,5,246.0
255.0,-0.09999999999999998,6,250.0
260.0,-0.20000000000000007,6,280.0
265.0,-0.20000000000000007,6,310.0
270.0,-0.20999999999999996,7,341.0
275.0,-0.15999999999999992,7,376.0
280.0,-0.20000000000000018,1,170.0
285.0,0.9600000000000001,0,39.0
290.0,-0.08999999999999997,5,53.0
295.0,-0.08999999999999997,4,72.0
300.0,-0.28,5,96.0
305.0,-0.25,6,125.0
310.0,-0.3500000000000001,7,158.0
315.0,-0.25,7,193.0
320.0,-0.25,3,94.0
325.0,0.9900000000000001,4,84.0
330.0,0.22999999999999998,8,77.0
335.0,0.21000000000000002,7,111.0
340.0,-0.21000000000000002,8,147.0
345.0,-0.21000000000000002,5,66.0
350.0,-0.13,7,74.0
355.0,-0.29999999999999993,5,93.0
360.0,-0.13,9,114.0
365.0,-0.13,4,63.0
370.0,0.38,5,66.0
375.0,0.18999999999999995,6,69.0
380.0,-0.26,8,89.0
385.0,-0.26,7,93.0
390.0,0.020000000000000018,9,136.0
395.0,-0.42000000000000004,9,158.0
400.0,-0.42000000000000004,9,200.0
405.0,-0.41999999999999993,6,208.0
410.0,-0.40000000000000013,7,165.0
415.0,0.49,3,152.0
420.0,0.49,4,148.0
425.0,-0.09999999999999987,5,138.0
430.0,0.48,3,92.0
435.0,0.33999999999999997,5,104.0
440.0,0.33999999999999997,1,72.0
445.0,-0.06999999999999995,2,79.0
450.0,-0.050000000000000044,1,8.0
455.0,0.77,2,19.0
460.0,-0.03,3,33.0
465.0,-0.03,4,43.0
470.0,-0.03,4,60.0
475.0,0.049999999999999996,5,79.0
480.0,0.049999999999999996,5,94.0
485.0,-0.07,6,120.0
490.0,-0.09999999999999999,7,153.0
495.0,-0.15000000000000002,7,188.0
500.0,-0.23999999999999994,9,232.0
505.0,-0.25,11,284.0
510.0,-0.30000000000000016,11,339.0
515.0,-0.30000000000000016,11,382.0
520.0,-0.2699999999999998,12,442.0
525.0,-0.25,12,483.0
530.0,-0.09000000000000008,11,457.0
535.0,-0.09000000000000008,8,426.0
540.0,-0.3500000000000001,12,475.0
545.0,-0.3799999999999999,14,544.0
550.0,-0.52,12,532.0
555.0,-0.3999999999999999,12,596.0
560.0,-0.3999999999999999,7,334.0
565.0,2.67,10,283.0
570.0,-0.3700000000000001,8,247.0
575.0,-0.3700000000000001,7,196.0
580.0,0.33000000000000007,10,236.0
585.0,-0.3899999999999999,9,228.0
590.0,0.1399999999999999,9,276.0
595.0,0.1399999999999999,6,235.0
600.0,0.49,7,246.0
605.0,0.040000000000000036,6,256.0
610.0,0.37,6,258.0
615.0,0.37,6,270.0
620.0,-0.1,5,269.0
625.0,0.16,7,303.0
630.0,-0.13999999999999999,8,316.0
635.0,-0.13999999999999999,6,228.0
640.0,-0.21000000000000002,6,150.0
645.0,-0.21999999999999997,5,116.0
650.0,0.25,6,135.0
655.0,-0.20000000000000007,6,165.0
660.0,-0.20000000000000007,9,199.0
665.0,-0.32999999999999996,6,159.0
670.0,0.49,5,69.0
675.0,0.11000000000000004,5,56.0
680.0,0.11000000000000004,9,91.0
685.0,-0.19,8,124.0
690.0,-0.32000000000000006,12,173.0
695.0,-0.32000000000000006,10,203.0
700.0,-0.1499999999999999,7,158.0
705.0,-0.28,3,81.0
710.0,0.96,1,32.0
715.0,0.96,4,41.0
720.0,-0.13999999999999996,8,69.0
725.0,-0.44,9,116.0
730.0,-0.44,5,109.0
735.0,-0.15000000000000002,9,133.0
740.0,-0.18999999999999995,9,173.0
745.0,-0.44999999999999996,7,128.0
750.0,1.3399999999999999,2,48.0
755.0,1.3399999999999999,8,74.0
760.0,-0.21000000000000002,11,117.0
765.0,-0.35,12,175.0
770.0,-0.36,12,236.0
