step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,-0.01,2,7.0
25.0,-0.11,3,24.0
30.0,-0.11,6,47.0
35.0,-0.2,9,83.0
40.0,-0.21000000000000002,9,125.0
45.0,-0.21000000000000002,9,151.0
50.0,-0.010000000000000009,6,111.0
55.0,-0.09999999999999998,7,144.0
60.0,-0.15000000000000002,6,147.0
65.0,-0.1499999999999999,10,165.0
70.0,-0.30000000000000004,10,165.0
75.0,0.75,9,160.0
80.0,0.75,6,116.0
85.0,0.020000000000000018,10,148.0
90.0,-0.33000000000000007,9,131.0
95.0,0.010000000000000009,8,151.0
100.0,0.010000000000000009,10,187.0
105.0,-0.24,9,184.0
110.0,-0.30000000000000004,6,153.0
115.0,0.22999999999999998,8,146.0
120.0,-0.27,9,148.0
125.0,0.40000000000000013,8,153.0
130.0,0.40000000000000013,9,196.0
135.0,-0.32000000000000006,9,101.0
140.0,0.65,9,132.0
145.0,0.65,9,132.0
150.0,0.23000000000000004,8,117.0
155.0,0.22999999999999998,9,157.0
160.0,-0.28,9,202.0
165.0,-0.22999999999999993,10,210.0
170.0,-0.22999999999999993,6,161.0
175.0,0.43999999999999995,5,167.0
180.0,0.22,7,195.0
185.0,0.22,7,50.0
190.0,-0.04000000000000001,9,88.0
195.0,0.030000000000000006,9,124.0
200.0,0.04,10,171.0
205.0,-0.04,11,226.0
210.0,-0.049999999999999996,12,282.0
215.0,-0.05000000000000002,5,194.0
220.0,0.14,6,196.0
225.0,0.14,8,235.0
230.0,-0.05,9,231.0
235.0,-0.16999999999999998,12,288.0
240.0,-0.16999999999999998,9,306.0
245.0,0.14,8,339.0
250.0,0.08,9,382.0
255.0,-0.05,10,428.0
260.0,0.030000000000000002,9,227.0
265.0,0.030000000000000002,4,143.0
270.0,-0.11,6,167.0
275.0,-0.12,10,169.0
280.0,-0.12,10,208.0
285.0,-0.15999999999999998,13,235.0
290.0,-0.29,5,164.0
295.0,-0.12,4,131.0
300.0,-0.12,7,157.0
305.0,-0.28000000000000014,6,133.0
310.0,-0.25,7,172.0
315.0,-0.45999999999999996,9,212.0
320.0,-0.45999999999999996,12,268.0
325.0,-0.5899999999999999,12,328.0
330.0,-0.7000000000000002,9,344.0
335.0,-0.54,12,380.0
340.0,-0.5500000000000003,13,445.0
345.0,-0.5500000000000003,6,221.0
350.0,2.2,6,139.0
355.0,0.97,4,107.0
360.0,0.43000000000000005,7,109.0
365.0,0.43000000000000005,5,80.0
370.0,0.3,4,29.0
375.0,0.04999999999999999,2,22.0
380.0,-0.08000000000000002,3,35.0
385.0,-0.08000000000000002,4,33.0
390.0,0.010000000000000009,3,31.0
395.0,0.0,6,52.0
400.0,0.0,6,66.0
405.0,-0.030000000000000027,6,79.0
410.0,-0.2,3,70.0
415.0,-0.19999999999999996,6,100.0
420.0,-0.19000000000000006,8,137.0
425.0,-0.19000000000000006,8,129.0
430.0,0.2400000000000001,7,162.0
435.0,-0.14,9,205.0
440.0,-0.14,9,250.0
445.0,-0.16000000000000003,5,203.0
450.0,0.19999999999999996,3,178.0
455.0,-0.08999999999999997,4,156.0
460.0,-0.08999999999999997,7,185.0
465.0,-0.07999999999999996,8,147.0
470.0,-0.13000000000000012,6,174.0
475.0,-0.07999999999999985,3,160.0
480.0,-0.09000000000000008,4,163.0
485.0,-0.17999999999999994,6,187.0
490.0,-0.17999999999999994,5,147.0
495.0,0.08999999999999986,5,172.0
500.0,-0.09999999999999987,7,202.0
505.0,-0.13000000000000012,8,238.0
510.0,-0.20999999999999996,2,39.0
515.0,1.6,4,37.0
520.0,-0.04999999999999999,5,58.0
525.0,-0.16000000000000003,8,93.0
530.0,-0.16000000000000003,6,80.0
535.0,0.020000000000000018,3,20.0
540.0,0.33,4,41.0
545.0,0.33,6,58.0
550.0,-0.009999999999999995,8,89.0
555.0,-0.12,7,117.0
560.0,0.01999999999999999,7,115.0
565.0,-0.04999999999999999,8,152.0
570.0,-0.04999999999999999,8,188.0
575.0,-0.07000000000000003,4,83.0
580.0,-0.10999999999999999,3,78.0
585.0,-0.10999999999999999,4,98.0
590.0,-0.09999999999999998,1,26.0
595.0,0.47,3,25.0
600.0,-0.039999999999999994,4,44.0
605.0,-0.039999999999999994,5,68.0
610.0,-0.14,5,82.0
615.0,-0.009999999999999981,6,110.0
620.0,-0.009999999999999981,4,72.0
625.0,0.03999999999999998,6,86.0
630.0,-0.22,4,51.0
635.0,-0.28,5,72.0
640.0,-0.28,5,95.0
645.0,-0.32999999999999996,6,123.0
650.0,-0.3600000000000001,6,153.0
655.0,-0.3600000000000001,7,186.0
660.0,-0.3799999999999999,8,174.0
665.0,0.050000000000000044,10,222.0
670.0,-0.3900000000000001,6,98.0
675.0,1.98,4,38.0
680.0,0.010000000000000009,3,26.0
685.0,0.010000000000000009,3,29.0
690.0,0.0,7,55.0
695.0,0.0,9,96.0
700.0,-0.09,7,115.0
705.0,-0.09,6,89.0
710.0,-0.06,6,79.0
715.0,-0.18,5,72.0
720.0,-0.23000000000000004,8,104.0
725.0,-0.36,11,155.0
730.0,-0.3600000000000001,13,213.0
735.0,-0.3600000000000001,8,145.0
740.0,0.27,10,192.0
745.0,-0.30999999999999983,8,158.0
750.0,0.7999999999999999,9,175.0
755.0,0.7999999999999999,10,203.0
760.0,-0.27,9,202.0
