step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,6,8.0
20.0,-0.08,8,45.0
25.0,-0.37,8,85.0
30.0,-0.39999999999999997,6,95.0
35.0,-0.20000000000000007,6,123.0
40.0,-0.32000000000000006,6,153.0
45.0,-0.3999999999999999,6,183.0
50.0,-0.2999999999999998,6,213.0
55.0,-0.5,12,269.0
60.0,-0.6000000000000001,12,329.0
65.0,-0.6600000000000001,14,397.0
70.0,-0.7000000000000002,14,467.0
75.0,-0.7399999999999993,16,543.0
80.0,-0.8000000000000007,16,623.0
85.0,-0.8099999999999996,17,705.0
90.0,-1.0700000000000003,24,819.0
95.0,-1.2000000000000002,24,939.0
100.0,-1.2000000000000002,18,921.0
105.0,0.15000000000000036,16,882.0
110.0,0.019999999999999574,17,960.0
115.0,-1.1600000000000001,19,1052.0
120.0,-0.9599999999999991,21,1152.0
125.0,-1.1600000000000001,25,1276.0
130.0,-1.25,25,1401.0
135.0,-1.25,20,1432.0
140.0,-0.8100000000000005,21,1518.0
145.0,-0.8599999999999994,20,1617.0
150.0,-1.4100000000000001,22,1724.0
155.0,-1.0899999999999999,22,1821.0
160.0,-1.5399999999999991,28,1950.0
165.0,-1.4000000000000021,28,2090.0
170.0,-1.4399999999999977,30,2236.0
175.0,-1.4399999999999977,26,2340.0
180.0,-1.5500000000000007,26,2465.0
185.0,-1.3000000000000007,28,2601.0
190.0,-1.379999999999999,28,2728.0
195.0,-1.9400000000000013,32,2887.0
200.0,-1.5999999999999979,34,3051.0
205.0,-1.7000000000000028,34,3221.0
210.0,-1.7000000000000028,32,3331.0
215.0,-1.7800000000000011,32,3491.0
220.0,-1.5999999999999943,34,3656.0
225.0,-1.6500000000000057,36,3830.0
230.0,-1.7399999999999949,36,3974.0
235.0,-1.980000000000004,38,4142.0
240.0,-1.8999999999999986,36,4313.0
245.0,-2.4100000000000037,38,4497.0
250.0,-1.8999999999999986,38,4687.0
255.0,-1.8999999999999986,36,4853.0
260.0,-2.3999999999999986,38,5035.0
265.0,-1.8699999999999974,40,5235.0
270.0,-2.8200000000000003,41,5440.0
275.0,-2.0500000000000043,41,5645.0
280.0,-2.0500000000000043,40,5835.0
285.0,-2.719999999999999,42,6042.0
290.0,-2.0700000000000003,37,5693.0
295.0,8.230000000000004,32,4838.0
300.0,7.93,25,4062.0
305.0,2.9099999999999966,22,4157.0
310.0,-1.0599999999999952,24,4265.0
315.0,-1.3500000000000014,32,4408.0
320.0,-1.7800000000000011,38,4592.0
325.0,-2.0,43,4797.0
330.0,-2.1899999999999977,44,5017.0
335.0,-2.3000000000000043,49,5252.0
340.0,-2.490000000000002,50,5502.0
345.0,-2.5,50,5752.0
350.0,-2.5,44,5832.0
355.0,-1.269999999999996,41,5870.0
360.0,-0.8299999999999983,42,6040.0
365.0,-1.7000000000000028,40,6229.0
370.0,-2.75,45,6446.0
375.0,-2.259999999999998,48,6677.0
380.0,-2.3799999999999955,48,6917.0
385.0,-2.3799999999999955,47,7138.0
390.0,-3.1700000000000017,48,7378.0
395.0,-2.4000000000000057,50,7622.0
400.0,-2.4399999999999977,46,7835.0
405.0,-2.969999999999999,49,8066.0
410.0,-2.450000000000003,49,8304.0
415.0,-3.3100000000000023,48,8543.0
420.0,-2.450000000000003,50,8790.0
425.0,-2.5,50,9040.0
430.0,-2.5,44,8021.0
435.0,9.27000000000001,37,7094.0
440.0,9.299999999999997,28,6700.0
445.0,3.8299999999999983,26,6794.0
450.0,-1.2600000000000051,32,6938.0
455.0,-1.6199999999999903,36,7108.0
460.0,-1.8900000000000006,44,7313.0
465.0,-2.280000000000001,48,7551.0
470.0,-2.430000000000007,50,7798.0
475.0,-2.5,52,8050.0
480.0,-2.6199999999999903,55,8320.0
485.0,-2.7700000000000102,56,8599.0
490.0,-2.799999999999997,56,8879.0
495.0,-2.799999999999997,48,8932.0
500.0,-1.6499999999999915,48,9040.0
505.0,-1.0800000000000125,47,9239.0
510.0,-2.9499999999999886,52,9489.0
515.0,-2.6000000000000085,55,9758.0
520.0,-2.75,56,9029.0
525.0,15.049999999999997,46,8048.0
530.0,11.0,44,6862.0
535.0,11.0,46,7085.0
540.0,1.3300000000000125,51,7330.0
545.0,-2.490000000000009,54,7593.0
550.0,-2.6599999999999966,54,7863.0
555.0,-2.700000000000003,52,8025.0
560.0,-1.5799999999999983,44,8090.0
565.0,-0.9699999999999989,46,8230.0
570.0,-0.9699999999999989,47,8449.0
575.0,-2.769999999999996,48,8689.0
580.0,-2.4000000000000057,50,8938.0
585.0,-2.489999999999995,50,9188.0
590.0,-2.5,48,9382.0
595.0,-2.5200000000000102,48,9557.0
600.0,-2.0999999999999943,46,9774.0
605.0,-3.1099999999999994,48,10009.0
610.0,-2.4000000000000057,48,10249.0
615.0,-2.3999999999999915,49,10490.0
620.0,-2.3999999999999915,46,10694.0
625.0,-2.990000000000009,48,10930.0
630.0,-2.3799999999999955,44,10330.0
635.0,13.560000000000002,36,8928.0
640.0,13.590000000000003,30,8325.0
645.0,13.590000000000003,24,8392.0
650.0,-1.2900000000000063,23,8497.0
655.0,-1.0499999999999972,28,8631.0
660.0,-1.3400000000000034,37,8796.0
665.0,-1.6499999999999915,46,9016.0
670.0,-2.200000000000003,46,9246.0
675.0,-2.299999999999997,48,9481.0
680.0,-2.3500000000000085,42,9630.0
