step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,5,10.0
20.0,-0.24,9,51.0
25.0,-0.44999999999999996,11,98.0
30.0,-0.53,13,161.0
35.0,-0.6500000000000001,15,230.0
40.0,-0.73,16,308.0
45.0,-0.8199999999999998,19,397.0
50.0,-0.9299999999999997,22,496.0
55.0,-1.0900000000000007,26,621.0
60.0,-1.3099999999999996,27,756.0
65.0,-1.3900000000000006,31,906.0
70.0,-1.5399999999999991,31,1061.0
75.0,-1.58,35,1231.0
80.0,-1.75,35,1406.0
85.0,-1.7699999999999996,41,1596.0
90.0,-2.040000000000001,43,1811.0
95.0,-2.169999999999998,46,2034.0
100.0,-2.2900000000000027,47,2269.0
105.0,-2.379999999999999,49,2513.0
110.0,-2.4899999999999984,51,2768.0
115.0,-2.5600000000000023,51,2829.0
120.0,0.4400000000000013,45,2872.0
125.0,0.4400000000000013,43,3090.0
130.0,-3.0500000000000007,44,3121.0
135.0,0.5300000000000011,40,3012.0
140.0,0.8000000000000007,38,2963.0
145.0,0.8000000000000007,44,3169.0
150.0,-1.7000000000000028,43,3289.0
155.0,-1.2600000000000016,44,3364.0
160.0,-1.1899999999999977,48,3525.0
165.0,-2.049999999999997,50,3769.0
170.0,-2.5,50,4019.0
175.0,-2.5,52,4271.0
180.0,-2.5600000000000023,52,4531.0
185.0,-2.6000000000000014,52,4791.0
190.0,-2.6199999999999974,56,5061.0
195.0,-2.8000000000000043,58,5351.0
200.0,-2.8999999999999986,60,5647.0
205.0,-3.0,60,5947.0
210.0,-3.0,62,6249.0
215.0,-3.059999999999995,62,6559.0
220.0,-3.1000000000000014,64,6871.0
225.0,-3.1599999999999966,66,7195.0
230.0,-3.3200000000000074,69,7536.0
235.0,-3.450000000000003,70,7886.0
240.0,-3.5,70,8236.0
245.0,-3.5,70,8586.0
250.0,-3.5,70,8936.0
255.0,-3.5,70,9286.0
260.0,-3.5,72,9640.0
265.0,-3.6199999999999903,74,10010.0
270.0,-3.700000000000003,74,10380.0
275.0,-3.700000000000003,74,10750.0
280.0,-3.700000000000003,74,11120.0
285.0,-3.700000000000003,74,11490.0
290.0,-3.6999999999999886,74,11860.0
295.0,-3.700000000000003,76,12232.0
300.0,-3.760000000000005,78,12618.0
305.0,-3.9099999999999966,80,13015.0
310.0,-4.0,80,13415.0
315.0,-4.0,80,13815.0
320.0,-4.0,80,14215.0
325.0,-4.0,80,14615.0
330.0,-4.02000000000001,82,15023.0
335.0,-4.099999999999994,82,15433.0
340.0,-4.099999999999994,82,15843.0
345.0,-4.099999999999994,82,16253.0
350.0,-4.099999999999994,82,16663.0
355.0,-4.100000000000023,82,17073.0
360.0,-4.099999999999994,82,17483.0
365.0,-4.099999999999994,82,17893.0
370.0,-4.099999999999994,82,18303.0
375.0,-4.099999999999994,84,18718.0
380.0,-4.190000000000026,84,19138.0
385.0,-4.199999999999989,84,19558.0
390.0,-4.199999999999989,84,19978.0
395.0,-4.200000000000017,84,20398.0
400.0,-4.199999999999989,84,20818.0
405.0,-4.200000000000017,84,21238.0
410.0,-4.199999999999989,84,21658.0
415.0,-4.199999999999989,84,22078.0
420.0,-4.200000000000017,84,22498.0
425.0,-4.199999999999989,84,22918.0
430.0,-4.200000000000017,84,23338.0
435.0,-4.199999999999989,84,23758.0
440.0,-4.199999999999989,84,24178.0
445.0,-4.200000000000017,86,24602.0
450.0,-4.280000000000001,86,25032.0
455.0,-4.299999999999983,86,25462.0
460.0,-4.299999999999983,86,25892.0
465.0,-4.300000000000011,84,25419.0
470.0,12.059999999999974,75,24933.0
475.0,13.360000000000014,67,22774.0
480.0,20.680000000000007,61,21515.0
485.0,19.109999999999985,53,19596.0
490.0,11.01000000000002,53,17845.0
495.0,11.01000000000002,50,18061.0
500.0,3.509999999999991,51,17328.0
505.0,15.75,50,16616.0
510.0,15.75,41,15555.0
515.0,9.609999999999985,33,14533.0
520.0,10.219999999999999,33,14381.0
525.0,1.0800000000000125,41,13981.0
530.0,5.650000000000006,46,13906.0
535.0,5.650000000000006,50,14123.0
540.0,-3.0600000000000023,48,13397.0
545.0,15.939999999999998,44,12660.0
550.0,15.939999999999998,35,12770.0
555.0,-1.980000000000004,28,12895.0
560.0,-1.6799999999999926,33,13029.0
565.0,-1.6500000000000057,41,12288.0
570.0,15.849999999999994,41,11559.0
575.0,15.849999999999994,28,11631.0
580.0,-1.4299999999999926,23,11746.0
585.0,-1.6500000000000057,33,11890.0
590.0,-1.6999999999999886,42,12078.0
595.0,-2.1300000000000097,49,12305.0
600.0,-2.489999999999995,54,12565.0
605.0,-2.710000000000008,55,12839.0
610.0,-2.749999999999986,55,13114.0
615.0,-2.780000000000001,57,13396.0
620.0,-2.780000000000001,51,13486.0
625.0,-2.0400000000000205,53,13741.0
630.0,-3.6299999999999955,59,14022.0
635.0,-2.9099999999999966,60,14318.0
640.0,-2.9799999999999898,61,14621.0
645.0,-3.0500000000000114,61,14926.0
650.0,-3.069999999999993,63,15237.0
655.0,-3.1500000000000057,63,15434.0
660.0,-1.9300000000000068,56,15614.0
665.0,-1.9300000000000068,52,14319.0
670.0,17.04000000000002,46,13954.0
675.0,-1.5100000000000193,38,14023.0
680.0,-0.8799999999999955,37,14142.0
685.0,-1.5300000000000011,43,14330.0
690.0,-1.5300000000000011,45,14473.0
