step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,-0.15,8,23.0
25.0,-0.41000000000000003,13,65.0
30.0,-0.52,12,120.0
35.0,-0.6299999999999999,16,187.0
40.0,-0.6299999999999999,14,185.0
45.0,-0.21999999999999997,11,214.0
50.0,-0.21999999999999997,11,202.0
55.0,-0.17000000000000015,22,253.0
60.0,-0.8199999999999998,20,317.0
65.0,-0.8199999999999998,15,374.0
70.0,-0.77,14,340.0
75.0,-0.77,16,372.0
80.0,-0.03000000000000025,19,436.0
85.0,-1.0399999999999996,22,494.0
90.0,-1.0399999999999996,18,523.0
95.0,-0.79,25,602.0
100.0,-0.79,25,677.0
105.0,-1.5300000000000002,27,707.0
110.0,-1.5300000000000002,26,770.0
115.0,-0.6899999999999995,28,836.0
120.0,-0.8499999999999996,28,943.0
125.0,-1.0300000000000011,30,1035.0
130.0,-1.0300000000000011,28,1104.0
135.0,-1.3899999999999988,28,1184.0
140.0,-0.8000000000000007,26,1215.0
145.0,-0.9499999999999993,33,1305.0
150.0,-1.0100000000000016,32,1412.0
155.0,-1.459999999999999,34,1560.0
160.0,-1.7599999999999998,41,1741.0
165.0,-1.7599999999999998,38,1831.0
170.0,-1.9299999999999997,30,1919.0
175.0,-0.8200000000000003,37,2044.0
180.0,-0.8200000000000003,28,2027.0
185.0,-0.9600000000000009,34,2159.0
190.0,-1.620000000000001,40,2303.0
195.0,-1.620000000000001,29,2119.0
200.0,4.050000000000001,24,1921.0
205.0,4.050000000000001,26,1939.0
210.0,-1.0899999999999999,31,2022.0
215.0,-0.8299999999999983,38,2156.0
220.0,-1.3399999999999999,39,2171.0
225.0,-1.0300000000000011,29,2288.0
230.0,-1.1099999999999994,40,2410.0
235.0,-1.9200000000000017,51,2606.0
240.0,-1.9200000000000017,39,2604.0
245.0,-0.08999999999999986,31,2632.0
250.0,-0.08999999999999986,33,2404.0
255.0,1.0899999999999999,37,2511.0
260.0,1.0899999999999999,28,2318.0
265.0,4.280000000000001,25,2107.0
270.0,4.280000000000001,26,2098.0
275.0,-0.6400000000000006,36,2153.0
280.0,-0.5500000000000007,36,2073.0
285.0,-0.3099999999999987,34,2218.0
290.0,-1.370000000000001,42,2352.0
295.0,-2.1499999999999986,55,2589.0
300.0,-2.1499999999999986,48,2610.0
305.0,-0.40000000000000213,37,2652.0
310.0,-0.40000000000000213,29,2449.0
315.0,0.75,39,2535.0
320.0,0.75,38,2389.0
325.0,2.270000000000003,41,2395.0
330.0,2.270000000000003,24,2374.0
335.0,-1.0,34,2394.0
340.0,-0.20000000000000284,41,2413.0
345.0,-1.3099999999999987,38,2562.0
350.0,-1.5,49,2724.0
355.0,-2.3500000000000014,62,2961.0
360.0,-3.039999999999999,67,3281.0
365.0,-3.039999999999999,61,3167.0
370.0,1.9100000000000001,52,3128.0
375.0,1.9100000000000001,39,3231.0
380.0,-1.9400000000000013,38,3242.0
385.0,-0.30999999999999517,45,3253.0
390.0,-0.4100000000000037,48,3180.0
395.0,-0.4100000000000037,41,3325.0
400.0,-0.759999999999998,48,3485.0
405.0,-1.6499999999999986,57,3719.0
410.0,-2.460000000000001,65,3954.0
415.0,-2.460000000000001,59,3571.0
420.0,2.049999999999997,49,3789.0
425.0,-2.769999999999996,42,3890.0
430.0,-0.6100000000000065,41,3882.0
435.0,-0.37999999999999545,48,3995.0
440.0,-1.75,55,4149.0
445.0,-1.75,53,4109.0
450.0,-0.8299999999999983,46,4263.0
455.0,-1.6000000000000014,51,4444.0
460.0,-2.3500000000000014,68,4722.0
465.0,-2.3500000000000014,63,4671.0
470.0,0.8500000000000014,53,4290.0
475.0,0.8500000000000014,43,4495.0
480.0,-0.21000000000000085,46,4633.0
485.0,-0.21000000000000085,46,4323.0
490.0,2.1300000000000026,44,4286.0
495.0,-0.37000000000000455,40,4364.0
500.0,-0.6099999999999994,44,4439.0
505.0,-1.1499999999999986,58,4568.0
510.0,-1.1499999999999986,55,4457.0
515.0,-0.23000000000000398,50,4619.0
520.0,-1.6899999999999977,53,4805.0
525.0,-2.039999999999999,68,5062.0
530.0,-2.039999999999999,67,5010.0
535.0,0.9100000000000037,66,4632.0
540.0,0.9100000000000037,44,4851.0
545.0,-0.5500000000000043,46,4985.0
550.0,-0.5500000000000043,47,4460.0
555.0,4.359999999999999,46,4555.0
560.0,-1.7299999999999969,43,4676.0
565.0,-0.6600000000000037,50,4687.0
570.0,-0.8900000000000006,61,4828.0
575.0,-0.8900000000000006,57,4811.0
580.0,-1.3699999999999974,56,4975.0
585.0,-1.6499999999999986,53,5174.0
590.0,-1.6499999999999986,55,5054.0
595.0,1.990000000000002,68,4670.0
600.0,1.990000000000002,55,4888.0
605.0,-0.2600000000000051,52,5051.0
610.0,-1.8599999999999994,61,5284.0
615.0,-2.289999999999999,73,5500.0
620.0,-2.289999999999999,71,5289.0
625.0,0.4299999999999997,70,5178.0
630.0,-1.009999999999998,52,5442.0
635.0,-2.1700000000000017,54,5661.0
640.0,-2.1700000000000017,62,5551.0
645.0,1.0600000000000023,61,5624.0
650.0,1.0600000000000023,55,5447.0
655.0,-0.240000000000002,46,5514.0
660.0,-0.240000000000002,49,5349.0
665.0,5.030000000000001,52,5182.0
670.0,5.030000000000001,45,5109.0
675.0,-0.8700000000000045,44,5062.0
