step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,2,0.0
20.0,0.0,2,6.0
25.0,-0.24,10,30.0
30.0,-0.24,2,28.0
35.0,-0.18,10,62.0
40.0,-0.18,11,70.0
45.0,-0.27999999999999997,7,41.0
50.0,-0.27999999999999997,6,48.0
55.0,0.1399999999999999,15,73.0
60.0,0.1399999999999999,12,100.0
65.0,-0.43999999999999995,12,119.0
70.0,-0.33000000000000007,9,142.0
75.0,-0.33000000000000007,11,159.0
80.0,-0.3799999999999999,15,198.0
85.0,-0.3799999999999999,14,191.0
90.0,-0.3799999999999999,18,222.0
95.0,-0.3799999999999999,17,282.0
100.0,-0.5700000000000003,10,242.0
105.0,-0.5700000000000003,13,217.0
110.0,0.4900000000000002,16,261.0
115.0,-0.4700000000000002,17,279.0
120.0,-0.4700000000000002,18,316.0
125.0,-0.5800000000000001,24,369.0
130.0,-0.5800000000000001,18,388.0
135.0,-0.98,23,431.0
140.0,-0.98,19,483.0
145.0,-0.6399999999999997,24,467.0
150.0,-0.6399999999999997,18,435.0
155.0,0.4900000000000002,17,491.0
160.0,-0.39000000000000057,23,495.0
165.0,-0.39000000000000057,21,502.0
170.0,-0.5099999999999998,20,564.0
175.0,-0.5099999999999998,18,567.0
180.0,-0.17999999999999972,21,553.0
185.0,-0.17999999999999972,20,617.0
190.0,-0.6500000000000004,21,591.0
195.0,-0.6500000000000004,21,558.0
200.0,0.5,33,597.0
205.0,-0.3899999999999997,37,677.0
210.0,-0.6900000000000004,27,693.0
215.0,-0.6900000000000004,27,729.0
220.0,-0.8200000000000003,22,789.0
225.0,-0.8200000000000003,16,766.0
230.0,-0.02999999999999936,23,756.0
235.0,-0.02999999999999936,32,818.0
240.0,-0.75,31,836.0
245.0,-0.75,27,868.0
250.0,-0.41999999999999993,27,958.0
255.0,-0.45000000000000107,27,938.0
260.0,-0.45000000000000107,24,943.0
265.0,-0.5,28,1010.0
270.0,-0.5,22,995.0
275.0,-0.15999999999999837,24,997.0
280.0,-0.15999999999999837,23,1027.0
285.0,-0.15000000000000036,33,1033.0
290.0,-0.15000000000000036,24,1041.0
295.0,-0.47000000000000064,21,912.0
300.0,1.33,20,927.0
305.0,1.33,27,958.0
310.0,-0.7400000000000002,36,1050.0
315.0,-0.7400000000000002,28,1005.0
320.0,-0.7199999999999989,34,1094.0
325.0,-0.7199999999999989,34,1152.0
330.0,-0.4800000000000004,37,1162.0
335.0,-0.4800000000000004,27,1219.0
340.0,-1.17,23,1095.0
345.0,1.1899999999999995,22,1122.0
350.0,1.1899999999999995,24,1102.0
355.0,-0.3699999999999992,29,1192.0
360.0,-0.3699999999999992,30,1191.0
365.0,-0.6300000000000008,30,1143.0
370.0,-0.6300000000000008,17,1166.0
375.0,0.15000000000000036,26,1212.0
380.0,0.15000000000000036,33,1271.0
385.0,-0.8600000000000012,33,1184.0
390.0,0.620000000000001,31,1238.0
395.0,0.620000000000001,31,1218.0
400.0,-0.14000000000000057,36,1289.0
405.0,-0.14000000000000057,33,1321.0
410.0,-1.1199999999999992,34,1267.0
415.0,-1.1199999999999992,27,1329.0
420.0,-0.17999999999999972,29,1404.0
425.0,-0.17999999999999972,29,1353.0
430.0,0.0,34,1384.0
435.0,-1.1900000000000013,33,1505.0
440.0,-1.1900000000000013,24,1360.0
445.0,1.200000000000001,23,1397.0
450.0,1.200000000000001,23,1300.0
455.0,1.5399999999999991,27,1181.0
460.0,1.5399999999999991,29,1261.0
465.0,-0.7699999999999996,41,1314.0
470.0,-0.7699999999999996,42,1399.0
475.0,-1.2400000000000002,46,1565.0
480.0,-1.9100000000000001,41,1631.0
485.0,-1.9100000000000001,38,1656.0
490.0,-1.2400000000000002,33,1780.0
495.0,-1.2400000000000002,21,1641.0
500.0,1.42,23,1583.0
505.0,1.42,30,1609.0
510.0,-0.20999999999999908,33,1600.0
515.0,-0.20999999999999908,23,1617.0
520.0,-0.240000000000002,25,1591.0
525.0,0.6000000000000014,24,1579.0
530.0,0.6000000000000014,23,1483.0
535.0,1.0700000000000003,28,1501.0
540.0,1.0700000000000003,29,1414.0
545.0,0.8100000000000005,41,1406.0
550.0,0.8100000000000005,33,1384.0
555.0,-0.4800000000000004,39,1456.0
560.0,-0.4800000000000004,40,1434.0
565.0,-0.16999999999999993,38,1551.0
570.0,-1.1500000000000004,41,1590.0
575.0,-1.1500000000000004,35,1556.0
580.0,-0.09999999999999964,37,1630.0
585.0,-0.09999999999999964,26,1571.0
590.0,-0.08999999999999986,31,1551.0
595.0,-0.08999999999999986,30,1555.0
600.0,-0.16000000000000014,30,1605.0
605.0,-0.16000000000000014,25,1627.0
610.0,-0.4299999999999997,26,1682.0
615.0,0.6699999999999999,27,1587.0
620.0,0.6699999999999999,31,1544.0
625.0,0.08000000000000007,31,1611.0
630.0,0.08000000000000007,24,1492.0
635.0,1.1099999999999994,24,1426.0
640.0,1.1099999999999994,27,1442.0
645.0,0.019999999999999574,33,1406.0
650.0,0.019999999999999574,30,1398.0
655.0,0.41000000000000014,23,1380.0
660.0,0.4299999999999997,23,1376.0
665.0,0.4299999999999997,26,1260.0
670.0,1.2800000000000011,31,1285.0
675.0,1.2800000000000011,26,1241.0
680.0,0.009999999999999787,39,1222.0
685.0,0.009999999999999787,40,1213.0
690.0,-0.2599999999999998,43,1331.0
