step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,2,1.0
20.0,-0.18,6,24.0
25.0,-0.18,10,39.0
30.0,-0.41,9,77.0
35.0,-0.41,7,74.0
40.0,-0.010000000000000009,10,52.0
45.0,-0.010000000000000009,7,63.0
50.0,-0.040000000000000036,10,102.0
55.0,-0.040000000000000036,22,167.0
60.0,-1.0299999999999998,17,215.0
65.0,-0.30000000000000004,13,210.0
70.0,-0.30000000000000004,10,229.0
75.0,-0.6399999999999999,16,291.0
80.0,-0.96,28,413.0
85.0,-1.4700000000000002,35,566.0
90.0,-1.4700000000000002,32,601.0
95.0,-1.1100000000000003,25,619.0
100.0,-1.1100000000000003,24,719.0
105.0,-1.2599999999999998,23,784.0
110.0,-1.2599999999999998,23,739.0
115.0,0.020000000000000462,32,755.0
120.0,-0.16000000000000014,41,912.0
125.0,-1.5699999999999994,50,1112.0
130.0,-4.050000000000001,55,1372.0
135.0,-4.050000000000001,49,1413.0
140.0,-0.9600000000000009,39,1379.0
145.0,0.4300000000000015,38,1380.0
150.0,0.4300000000000015,28,1461.0
155.0,-1.4700000000000006,36,1616.0
160.0,-1.7599999999999998,50,1707.0
165.0,-1.7599999999999998,49,1888.0
170.0,-2.3999999999999986,55,2143.0
175.0,-2.66,60,2411.0
180.0,-2.66,50,2373.0
185.0,-1.740000000000002,49,2459.0
190.0,-1.2100000000000009,41,2535.0
195.0,-1.2100000000000009,29,2425.0
200.0,1.0800000000000018,27,2437.0
205.0,1.0800000000000018,20,2396.0
210.0,-0.5100000000000016,27,2253.0
215.0,2.5100000000000016,33,2157.0
220.0,0.75,36,1951.0
225.0,0.75,24,2003.0
230.0,1.0799999999999983,36,2092.0
235.0,-1.25,41,2170.0
240.0,-1.25,37,2150.0
245.0,-0.21999999999999886,40,2156.0
250.0,-1.5700000000000003,40,2347.0
255.0,-1.5700000000000003,31,2378.0
260.0,-0.7699999999999996,26,2412.0
265.0,-0.7699999999999996,27,2431.0
270.0,0.030000000000001137,32,2255.0
275.0,0.030000000000001137,35,2415.0
280.0,-0.6799999999999997,34,2482.0
285.0,-0.6799999999999997,30,2447.0
290.0,0.019999999999999574,28,2493.0
295.0,-0.46000000000000085,30,2389.0
300.0,-0.05000000000000071,33,2531.0
305.0,-0.05000000000000071,34,2444.0
310.0,1.7899999999999991,28,2376.0
315.0,1.7899999999999991,23,2270.0
320.0,0.8200000000000003,32,2306.0
325.0,-1.2799999999999976,46,2447.0
330.0,-1.2799999999999976,49,2547.0
335.0,-2.330000000000002,51,2553.0
340.0,-2.330000000000002,47,2789.0
345.0,-1.9100000000000001,43,3015.0
350.0,-2.259999999999998,45,3235.0
355.0,-2.200000000000003,51,3472.0
360.0,-2.3699999999999974,59,3589.0
365.0,-2.6200000000000045,64,3798.0
370.0,-2.6200000000000045,50,3752.0
375.0,-1.509999999999998,43,3973.0
380.0,-1.509999999999998,27,3748.0
385.0,3.5,18,3581.0
390.0,3.5,14,3539.0
395.0,-0.19999999999999574,18,3354.0
400.0,-0.19999999999999574,22,2938.0
405.0,6.169999999999998,25,2522.0
410.0,4.16,30,2508.0
415.0,-1.2600000000000016,44,2691.0
420.0,-1.2600000000000016,46,2644.0
425.0,0.5300000000000011,47,2688.0
430.0,0.5300000000000011,45,2742.0
435.0,-0.6900000000000013,39,2594.0
440.0,-0.6900000000000013,26,2675.0
445.0,0.010000000000001563,24,2593.0
450.0,0.010000000000001563,15,2339.0
455.0,3.2399999999999984,21,2426.0
460.0,-1.8099999999999987,29,2549.0
465.0,-1.8099999999999987,37,2642.0
470.0,-2.4499999999999993,52,2863.0
475.0,-2.4499999999999993,54,2705.0
480.0,1.379999999999999,53,2618.0
485.0,1.379999999999999,45,2857.0
490.0,-2.7300000000000004,37,3051.0
495.0,-2.7300000000000004,32,2983.0
500.0,-0.8299999999999983,28,2808.0
505.0,1.75,36,2729.0
510.0,1.6699999999999982,34,2675.0
515.0,1.6699999999999982,30,2749.0
520.0,-1.8999999999999986,27,2886.0
525.0,-1.8999999999999986,24,2746.0
530.0,2.59,29,2561.0
535.0,2.59,28,2681.0
540.0,-1.3599999999999994,34,2806.0
545.0,-1.3599999999999994,44,2993.0
550.0,-2.8500000000000014,48,3222.0
555.0,-2.289999999999999,56,3226.0
560.0,-2.3900000000000006,62,3523.0
565.0,-3.1499999999999986,64,3840.0
570.0,-3.1499999999999986,53,3833.0
575.0,0.6799999999999997,45,3799.0
580.0,0.6799999999999997,42,3675.0
585.0,1.1199999999999974,37,3552.0
590.0,1.2199999999999989,30,3426.0
595.0,1.2199999999999989,27,3167.0
600.0,4.110000000000003,31,3021.0
605.0,4.110000000000003,26,3145.0
610.0,-0.8200000000000003,31,3279.0
615.0,-1.3399999999999999,39,3452.0
620.0,-1.730000000000004,44,3594.0
625.0,0.23000000000000398,53,3481.0
630.0,0.23000000000000398,58,3691.0
635.0,-4.079999999999998,59,3951.0
640.0,-2.8900000000000006,57,4240.0
645.0,-2.8900000000000006,47,3994.0
650.0,2.3200000000000003,40,3989.0
655.0,2.3200000000000003,32,3573.0
660.0,2.8999999999999986,19,3503.0
665.0,2.8999999999999986,15,3545.0
670.0,0.5899999999999963,24,3347.0
675.0,5.720000000000002,24,2884.0
680.0,3.650000000000002,27,2546.0
685.0,3.650000000000002,33,2323.0
