step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,,0,0.0
15.0,,3,6.0
20.0,,8,41.0
25.0,,9,83.0
30.0,,12,143.0
35.0,,14,209.0
40.0,,16,288.0
45.0,,18,374.0
50.0,,18,402.0
55.0,,20,426.0
60.0,,12,359.0
65.0,,14,351.0
70.0,,14,411.0
75.0,,16,489.0
80.0,,16,569.0
85.0,,19,654.0
90.0,,20,612.0
95.0,,12,557.0
100.0,,8,423.0
105.0,,16,434.0
110.0,,20,525.0
115.0,,20,625.0
120.0,,24,737.0
125.0,,24,857.0
130.0,,28,987.0
135.0,,26,1032.0
140.0,,26,1084.0
145.0,,20,1127.0
150.0,,20,1138.0
155.0,,22,1233.0
160.0,,26,1350.0
165.0,,30,1490.0
170.0,,30,1640.0
175.0,,28,1523.0
180.0,,21,1404.0
185.0,,10,1212.0
190.0,,11,1211.0
195.0,,18,1288.0
200.0,,27,1401.0
205.0,,30,1549.0
210.0,,34,1714.0
215.0,,36,1890.0
220.0,,36,1953.0
225.0,,38,2141.0
230.0,,33,2143.0
235.0,,36,2216.0
240.0,,36,2371.0
245.0,,36,2551.0
250.0,,38,2739.0
255.0,,38,2929.0
260.0,,40,3125.0
265.0,,32,2635.0
270.0,,23,2398.0
275.0,,21,2417.0
280.0,,18,2500.0
285.0,,25,2606.0
290.0,,31,2749.0
295.0,,41,2937.0
300.0,,43,3152.0
305.0,,45,3233.0
310.0,,46,3456.0
315.0,,39,3539.0
320.0,,38,3623.0
325.0,,38,3773.0
330.0,,38,3963.0
335.0,,38,4153.0
340.0,,41,4349.0
345.0,,42,4558.0
350.0,,34,3889.0
355.0,,26,4001.0
360.0,,22,4083.0
365.0,,24,4194.0
370.0,,24,4306.0
375.0,,38,4463.0
380.0,,42,4665.0
385.0,,46,4890.0
390.0,,46,5088.0
395.0,,48,5325.0
400.0,,42,5466.0
405.0,,38,5536.0
410.0,,39,5674.0
415.0,,42,5882.0
420.0,,42,6092.0
425.0,,42,6302.0
430.0,,42,6512.0
435.0,,36,6154.0
440.0,,28,5782.0
445.0,,22,5776.0
450.0,,26,5894.0
455.0,,24,6014.0
460.0,,32,6163.0
465.0,,41,6350.0
470.0,,46,6574.0
475.0,,49,6813.0
480.0,,48,6997.0
485.0,,45,7141.0
490.0,,42,7226.0
495.0,,42,7368.0
500.0,,42,7575.0
505.0,,42,7785.0
510.0,,42,7995.0
515.0,,42,8205.0
520.0,,44,7765.0
525.0,,35,6715.0
530.0,,23,6685.0
535.0,,21,6753.0
540.0,,22,6857.0
545.0,,30,6989.0
550.0,,38,7161.0
555.0,,43,7370.0
560.0,,46,7596.0
565.0,,45,7736.0
570.0,,47,7880.0
575.0,,38,7977.0
580.0,,38,8086.0
585.0,,38,8269.0
590.0,,38,8459.0
595.0,,44,8669.0
600.0,,44,8889.0
605.0,,42,8374.0
610.0,,32,7469.0
615.0,,23,7561.0
620.0,,21,7630.0
625.0,,21,7734.0
630.0,,27,7854.0
635.0,,35,8015.0
640.0,,42,8213.0
645.0,,45,8436.0
650.0,,44,8544.0
655.0,,47,8773.0
660.0,,37,8816.0
665.0,,43,8924.0
670.0,,44,9125.0
675.0,,44,9345.0
680.0,,44,9565.0
685.0,,44,9785.0
690.0,,44,10005.0
695.0,,35,8512.0
700.0,,26,8199.0
705.0,,23,8241.0
710.0,,22,8348.0
715.0,,27,8465.0
720.0,,34,8622.0
725.0,,43,8818.0
730.0,,45,9041.0
735.0,,46,9129.0
740.0,,49,9370.0
745.0,,43,9430.0
750.0,,40,9528.0
755.0,,40,9698.0
760.0,,40,9898.0
765.0,,40,10098.0
770.0,,41,10300.0
775.0,,44,10517.0
780.0,,36,9337.0
785.0,,26,8490.0
790.0,,21,8537.0
795.0,,17,8626.0
800.0,,22,8724.0
805.0,,30,8860.0
810.0,,39,9045.0
815.0,,43,9258.0
820.0,,44,9455.0
825.0,,47,9681.0
830.0,,41,9820.0
835.0,,38,9900.0
840.0,,38,10046.0
845.0,,41,10240.0
850.0,,42,10449.0
855.0,,42,10659.0
860.0,,42,10869.0
865.0,,36,10026.0
870.0,,28,8171.0
875.0,,19,8167.0
880.0,,21,8259.0
885.0,,23,8364.0
890.0,,30,8497.0
895.0,,37,8670.0
900.0,,44,8878.0
905.0,,45,9100.0
910.0,,46,9273.0
915.0,,42,9405.0
920.0,,42,9497.0
925.0,,42,9648.0
930.0,,42,9855.0
935.0,,42,10065.0
940.0,,42,10275.0
945.0,,42,10485.0
950.0,,41,9612.0
955.0,,35,7758.0
960.0,,20,7725.0
965.0,,19,7789.0
970.0,,18,7881.0
975.0,,28,8004.0
980.0,,34,8161.0
985.0,,42,8358.0
990.0,,45,8576.0
995.0,,45,8716.0
1000.0,,46,8859.0
1005.0,,38,8995.0
