step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,,0,0.0
15.0,,3,3.0
20.0,,8,40.0
25.0,,12,88.0
30.0,,12,148.0
35.0,,14,213.0
40.0,,16,290.0
45.0,,18,372.0
50.0,,18,396.0
55.0,,20,422.0
60.0,,13,354.0
65.0,,14,339.0
70.0,,14,409.0
75.0,,16,486.0
80.0,,16,566.0
85.0,,20,654.0
90.0,,20,618.0
95.0,,12,451.0
100.0,,6,310.0
105.0,,12,302.0
110.0,,18,383.0
115.0,,18,473.0
120.0,,22,579.0
125.0,,22,689.0
130.0,,26,809.0
135.0,,24,840.0
140.0,,25,884.0
145.0,,18,916.0
150.0,,18,908.0
155.0,,20,1000.0
160.0,,24,1109.0
165.0,,26,1239.0
170.0,,28,1377.0
175.0,,26,1277.0
180.0,,18,1174.0
185.0,,12,1198.0
190.0,,13,1208.0
195.0,,22,1301.0
200.0,,29,1427.0
205.0,,32,1587.0
210.0,,34,1751.0
215.0,,36,1929.0
220.0,,36,1989.0
225.0,,38,2174.0
230.0,,32,2177.0
235.0,,36,2240.0
240.0,,36,2406.0
245.0,,36,2586.0
250.0,,38,2772.0
255.0,,38,2962.0
260.0,,40,3156.0
265.0,,31,2657.0
270.0,,25,2716.0
275.0,,21,2744.0
280.0,,23,2851.0
285.0,,27,2981.0
290.0,,36,3141.0
295.0,,43,3342.0
300.0,,46,3568.0
305.0,,47,3659.0
310.0,,49,3896.0
315.0,,42,4007.0
320.0,,39,4067.0
325.0,,39,4238.0
330.0,,39,4433.0
335.0,,39,4628.0
340.0,,41,4827.0
345.0,,43,5042.0
350.0,,35,4339.0
355.0,,25,3998.0
360.0,,20,4062.0
365.0,,20,4138.0
370.0,,22,4238.0
375.0,,34,4376.0
380.0,,40,4564.0
385.0,,44,4777.0
390.0,,44,4967.0
395.0,,46,5189.0
400.0,,42,5320.0
405.0,,38,5392.0
410.0,,39,5536.0
415.0,,42,5743.0
420.0,,42,5953.0
425.0,,42,6163.0
430.0,,42,6373.0
435.0,,36,6017.0
440.0,,27,5139.0
445.0,,21,5123.0
450.0,,20,5224.0
455.0,,22,5320.0
460.0,,32,5455.0
465.0,,39,5628.0
470.0,,44,5839.0
475.0,,46,6063.0
480.0,,46,6232.0
485.0,,48,6381.0
490.0,,42,6470.0
495.0,,42,6614.0
500.0,,42,6819.0
505.0,,42,7029.0
510.0,,42,7239.0
515.0,,42,7449.0
520.0,,44,7032.0
525.0,,35,6035.0
530.0,,22,5992.0
535.0,,17,6051.0
540.0,,19,6139.0
545.0,,27,6260.0
550.0,,35,6414.0
555.0,,41,6605.0
560.0,,47,6835.0
565.0,,45,6978.0
570.0,,47,7122.0
575.0,,38,7232.0
580.0,,38,7328.0
585.0,,38,7511.0
590.0,,41,7705.0
595.0,,44,7918.0
600.0,,44,8138.0
605.0,,42,7624.0
