step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,,0,0.0
15.0,,0,0.0
20.0,,7,27.0
25.0,,7,62.0
30.0,,11,115.0
35.0,,13,174.0
40.0,,15,246.0
45.0,,17,324.0
50.0,,18,344.0
55.0,,19,366.0
60.0,,12,302.0
65.0,,13,285.0
70.0,,13,350.0
75.0,,15,423.0
80.0,,15,498.0
85.0,,19,580.0
90.0,,19,546.0
95.0,,10,455.0
100.0,,7,363.0
105.0,,13,321.0
110.0,,17,399.0
115.0,,18,489.0
120.0,,22,592.0
125.0,,22,702.0
130.0,,25,822.0
135.0,,24,857.0
140.0,,24,897.0
145.0,,18,907.0
150.0,,18,926.0
155.0,,20,1021.0
160.0,,24,1131.0
165.0,,27,1261.0
170.0,,28,1399.0
175.0,,26,1299.0
180.0,,19,1107.0
185.0,,10,1124.0
190.0,,15,1136.0
195.0,,22,1230.0
200.0,,29,1363.0
205.0,,31,1517.0
210.0,,33,1676.0
215.0,,35,1850.0
220.0,,35,1911.0
225.0,,37,2092.0
230.0,,30,2086.0
235.0,,34,2147.0
240.0,,35,2294.0
245.0,,35,2469.0
250.0,,37,2651.0
255.0,,37,2836.0
260.0,,39,3026.0
265.0,,30,2537.0
270.0,,22,2293.0
275.0,,17,2302.0
280.0,,16,2372.0
285.0,,25,2477.0
290.0,,32,2622.0
295.0,,39,2804.0
300.0,,40,3004.0
305.0,,41,3067.0
310.0,,43,3278.0
315.0,,38,3343.0
320.0,,37,3456.0
325.0,,37,3632.0
330.0,,38,3818.0
335.0,,38,4008.0
340.0,,40,4201.0
345.0,,43,4416.0
350.0,,35,3774.0
355.0,,25,3466.0
360.0,,18,3515.0
365.0,,16,3595.0
370.0,,21,3688.0
375.0,,31,3818.0
380.0,,37,3990.0
385.0,,43,4197.0
390.0,,44,4386.0
395.0,,46,4611.0
400.0,,42,4745.0
405.0,,38,4818.0
410.0,,40,4961.0
415.0,,42,5169.0
420.0,,42,5379.0
425.0,,42,5589.0
430.0,,42,5799.0
435.0,,36,5484.0
440.0,,29,5149.0
445.0,,21,5141.0
450.0,,22,5254.0
455.0,,25,5366.0
460.0,,33,5513.0
465.0,,41,5700.0
470.0,,46,5926.0
475.0,,48,6164.0
480.0,,48,6345.0
485.0,,47,6495.0
490.0,,42,6582.0
495.0,,42,6727.0
500.0,,42,6932.0
505.0,,42,7142.0
510.0,,42,7352.0
515.0,,42,7562.0
520.0,,44,7159.0
525.0,,34,6157.0
530.0,,20,6112.0
535.0,,19,6165.0
540.0,,19,6258.0
545.0,,26,6380.0
550.0,,35,6536.0
555.0,,40,6731.0
560.0,,44,6941.0
565.0,,42,7067.0
570.0,,44,7203.0
575.0,,36,7335.0
580.0,,38,7437.0
585.0,,38,7621.0
590.0,,39,7812.0
595.0,,44,8026.0
600.0,,44,8246.0
605.0,,42,7756.0
