step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,,0,0.0
15.0,,6,11.0
20.0,,8,49.0
25.0,,12,94.0
30.0,,12,154.0
35.0,,14,218.0
40.0,,16,292.0
45.0,,18,376.0
50.0,,20,398.0
55.0,,20,424.0
60.0,,12,358.0
65.0,,14,341.0
70.0,,14,411.0
75.0,,16,489.0
80.0,,16,569.0
85.0,,19,657.0
90.0,,20,615.0
95.0,,10,554.0
100.0,,8,458.0
105.0,,14,437.0
110.0,,20,521.0
115.0,,20,621.0
120.0,,23,730.0
125.0,,24,849.0
130.0,,27,978.0
135.0,,26,1020.0
140.0,,28,1076.0
145.0,,20,1093.0
150.0,,20,1123.0
155.0,,22,1228.0
160.0,,28,1353.0
165.0,,30,1497.0
170.0,,30,1647.0
175.0,,28,1535.0
180.0,,21,1418.0
185.0,,14,1444.0
190.0,,15,1459.0
195.0,,22,1554.0
200.0,,30,1685.0
205.0,,34,1851.0
210.0,,36,2026.0
215.0,,38,2215.0
220.0,,38,2287.0
225.0,,40,2482.0
230.0,,33,2491.0
235.0,,38,2572.0
240.0,,38,2737.0
245.0,,40,2929.0
250.0,,40,3129.0
255.0,,40,3329.0
260.0,,42,3535.0
265.0,,34,3001.0
270.0,,25,2752.0
275.0,,21,2781.0
280.0,,19,2873.0
285.0,,25,2990.0
290.0,,35,3138.0
295.0,,41,3331.0
300.0,,43,3544.0
305.0,,43,3622.0
310.0,,46,3840.0
315.0,,39,3893.0
320.0,,38,3988.0
325.0,,38,4153.0
330.0,,38,4343.0
335.0,,38,4533.0
340.0,,41,4727.0
345.0,,42,4937.0
350.0,,34,4229.0
355.0,,24,3919.0
360.0,,18,3982.0
365.0,,15,4066.0
370.0,,22,4158.0
375.0,,32,4291.0
380.0,,40,4473.0
385.0,,43,4683.0
390.0,,44,4876.0
395.0,,46,5100.0
400.0,,42,5232.0
405.0,,38,5305.0
410.0,,40,5451.0
415.0,,42,5659.0
420.0,,42,5869.0
425.0,,42,6079.0
430.0,,42,6289.0
435.0,,36,5934.0
440.0,,32,5569.0
445.0,,25,5571.0
450.0,,24,5697.0
455.0,,26,5817.0
460.0,,34,5972.0
465.0,,43,6166.0
470.0,,46,6396.0
475.0,,49,6635.0
480.0,,48,6819.0
485.0,,48,6967.0
490.0,,42,7052.0
495.0,,42,7193.0
500.0,,42,7398.0
505.0,,42,7608.0
510.0,,42,7818.0
515.0,,42,8028.0
520.0,,44,7585.0
525.0,,34,7137.0
530.0,,21,7092.0
535.0,,20,7154.0
540.0,,24,7262.0
545.0,,32,7404.0
550.0,,40,7581.0
555.0,,42,7787.0
560.0,,46,8007.0
565.0,,44,8141.0
570.0,,46,8289.0
575.0,,38,8406.0
580.0,,38,8536.0
585.0,,38,8726.0
590.0,,41,8920.0
595.0,,43,9132.0
600.0,,44,9352.0
