step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,,0,0.0
15.0,,6,8.0
20.0,,8,46.0
25.0,,9,87.0
30.0,,12,146.0
35.0,,13,209.0
40.0,,16,284.0
45.0,,18,369.0
50.0,,18,390.0
55.0,,19,412.0
60.0,,14,350.0
65.0,,14,346.0
70.0,,14,408.0
75.0,,16,488.0
80.0,,16,568.0
85.0,,17,650.0
90.0,,20,607.0
95.0,,12,552.0
100.0,,7,461.0
105.0,,14,430.0
110.0,,20,520.0
115.0,,20,620.0
120.0,,24,733.0
125.0,,24,853.0
130.0,,27,979.0
135.0,,27,1022.0
140.0,,26,1078.0
145.0,,20,1098.0
150.0,,20,1131.0
155.0,,22,1235.0
160.0,,25,1351.0
165.0,,30,1492.0
170.0,,30,1642.0
175.0,,28,1529.0
180.0,,22,1412.0
185.0,,12,1332.0
190.0,,13,1349.0
195.0,,21,1435.0
200.0,,28,1559.0
205.0,,33,1719.0
210.0,,35,1889.0
215.0,,37,2072.0
220.0,,37,2141.0
225.0,,39,2332.0
230.0,,33,2334.0
235.0,,36,2408.0
240.0,,37,2566.0
245.0,,37,2751.0
250.0,,39,2945.0
255.0,,39,3140.0
260.0,,41,3341.0
265.0,,31,2818.0
270.0,,23,2572.0
275.0,,19,2583.0
280.0,,17,2672.0
285.0,,25,2775.0
290.0,,30,2914.0
295.0,,39,3092.0
300.0,,42,3298.0
305.0,,43,3370.0
310.0,,45,3592.0
315.0,,40,3702.0
320.0,,39,3794.0
325.0,,39,3980.0
330.0,,39,4175.0
335.0,,39,4370.0
340.0,,43,4573.0
345.0,,43,4788.0
350.0,,35,4106.0
355.0,,25,3975.0
360.0,,19,4044.0
365.0,,20,4123.0
370.0,,23,4226.0
375.0,,31,4365.0
380.0,,40,4552.0
385.0,,45,4771.0
390.0,,45,4970.0
395.0,,47,5201.0
400.0,,42,5340.0
405.0,,38,5399.0
410.0,,38,5551.0
415.0,,42,5756.0
420.0,,42,5966.0
425.0,,42,6176.0
430.0,,42,6386.0
435.0,,36,6029.0
440.0,,29,5400.0
445.0,,20,5393.0
450.0,,21,5495.0
455.0,,22,5598.0
460.0,,30,5734.0
465.0,,38,5908.0
470.0,,45,6122.0
475.0,,49,6358.0
480.0,,47,6536.0
485.0,,46,6680.0
490.0,,42,6769.0
495.0,,42,6909.0
500.0,,42,7114.0
505.0,,42,7324.0
510.0,,42,7534.0
515.0,,42,7744.0
520.0,,42,7315.0
525.0,,34,6287.0
530.0,,23,6256.0
535.0,,19,6319.0
540.0,,20,6412.0
545.0,,27,6532.0
550.0,,36,6688.0
555.0,,40,6884.0
560.0,,44,7096.0
565.0,,42,7218.0
570.0,,44,7357.0
575.0,,36,7484.0
580.0,,38,7578.0
585.0,,38,7768.0
590.0,,39,7959.0
595.0,,44,8172.0
600.0,,44,8392.0
605.0,,42,7875.0
610.0,,32,7336.0
615.0,,24,7429.0
620.0,,20,7500.0
625.0,,20,7606.0
630.0,,28,7728.0
635.0,,37,7895.0
640.0,,42,8097.0
645.0,,46,8325.0
650.0,,44,8438.0
655.0,,48,8677.0
660.0,,39,8729.0
665.0,,43,8846.0
670.0,,44,9046.0
675.0,,44,9266.0
680.0,,44,9486.0
685.0,,44,9706.0
690.0,,44,9926.0
695.0,,35,8449.0
700.0,,26,8123.0
705.0,,21,8160.0
710.0,,21,8261.0
715.0,,27,8383.0
720.0,,34,8544.0
725.0,,43,8742.0
730.0,,45,8964.0
735.0,,45,9045.0
740.0,,49,9289.0
745.0,,43,9352.0
750.0,,40,9447.0
755.0,,40,9616.0
760.0,,40,9816.0
765.0,,40,10016.0
770.0,,42,10218.0
775.0,,44,10435.0
780.0,,36,8794.0
785.0,,26,8409.0
790.0,,18,8476.0
795.0,,16,8534.0
800.0,,21,8627.0
805.0,,29,8757.0
810.0,,40,8939.0
815.0,,44,9149.0
820.0,,45,9347.0
825.0,,45,9572.0
830.0,,41,9712.0
835.0,,38,9779.0
840.0,,38,9943.0
845.0,,41,10138.0
850.0,,42,10348.0
855.0,,42,10558.0
860.0,,42,10768.0
865.0,,36,9948.0
870.0,,27,8128.0
875.0,,22,8132.0
880.0,,20,8234.0
885.0,,22,8335.0
890.0,,29,8465.0
895.0,,37,8637.0
900.0,,44,8845.0
905.0,,46,9068.0
910.0,,46,9238.0
915.0,,45,9381.0
920.0,,42,9467.0
925.0,,42,9619.0
930.0,,42,9828.0
935.0,,42,10038.0
940.0,,42,10248.0
945.0,,42,10458.0
950.0,,41,9561.0
955.0,,34,8256.0
960.0,,22,8261.0
965.0,,19,8286.0
970.0,,20,8382.0
975.0,,28,8509.0
980.0,,36,8670.0
985.0,,43,8871.0
990.0,,46,9092.0
995.0,,45,9237.0
1000.0,,45,9387.0
1005.0,,38,9529.0
