step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,2,9.0
25.0,-0.24,10,30.0
30.0,-0.32999999999999996,8,65.0
35.0,-0.4600000000000001,10,113.0
40.0,-0.4600000000000001,17,134.0
45.0,-0.75,16,210.0
50.0,-0.8600000000000001,20,303.0
55.0,-0.8600000000000001,26,379.0
60.0,-1.6099999999999999,27,504.0
65.0,-1.3600000000000003,31,563.0
70.0,-1.3600000000000003,23,606.0
75.0,0.11000000000000032,19,571.0
80.0,0.11000000000000032,11,570.0
85.0,-0.20000000000000018,21,533.0
90.0,0.27000000000000046,25,568.0
95.0,0.27000000000000046,20,590.0
100.0,-1.0200000000000005,21,683.0
105.0,-1.1099999999999994,31,816.0
110.0,-1.1099999999999994,31,859.0
115.0,-1.3099999999999996,36,989.0
120.0,-1.3099999999999996,29,1042.0
125.0,-1.3500000000000014,32,966.0
130.0,0.5899999999999999,37,997.0
135.0,-0.46999999999999886,39,1067.0
140.0,-0.75,37,1169.0
145.0,-0.75,49,1337.0
150.0,-2.5199999999999996,45,1365.0
155.0,-1.370000000000001,34,1508.0
160.0,-0.7699999999999996,26,1569.0
165.0,-0.7699999999999996,18,1544.0
170.0,1.0,25,1502.0
175.0,1.0,25,1548.0
180.0,-1.3000000000000007,24,1627.0
185.0,-1.3000000000000007,25,1712.0
190.0,-1.290000000000001,27,1805.0
195.0,-1.290000000000001,37,1947.0
200.0,-2.3699999999999974,54,2176.0
205.0,-2.2900000000000027,52,2248.0
210.0,-2.469999999999999,47,2470.0
215.0,-2.469999999999999,42,2504.0
220.0,-0.17999999999999972,38,2431.0
225.0,1.6999999999999993,31,2333.0
230.0,1.6999999999999993,25,2328.0
235.0,-1.0999999999999979,34,2434.0
240.0,-1.0999999999999979,36,2597.0
245.0,-2.530000000000001,40,2609.0
250.0,-2.530000000000001,45,2797.0
255.0,-1.629999999999999,57,3049.0
260.0,-4.850000000000001,60,3342.0
265.0,-4.850000000000001,48,3258.0
270.0,0.38000000000000256,40,3327.0
275.0,0.38000000000000256,39,3513.0
280.0,-3.510000000000005,39,3493.0
285.0,-3.510000000000005,28,3433.0
290.0,3.3400000000000034,35,3223.0
295.0,3.3400000000000034,33,3361.0
300.0,-1.0,36,3542.0
305.0,-1.8100000000000023,41,3710.0
310.0,-0.46999999999999886,42,3631.0
315.0,-0.46999999999999886,47,3823.0
320.0,-3.8800000000000026,55,4088.0
325.0,-3.8800000000000026,58,4344.0
330.0,-4.789999999999999,59,4359.0
335.0,-4.789999999999999,49,4309.0
340.0,2.0600000000000023,46,4430.0
345.0,2.0600000000000023,43,4647.0
350.0,-3.969999999999999,31,4543.0
355.0,5.339999999999996,31,4144.0
360.0,5.339999999999996,31,4048.0
365.0,-0.30999999999999517,39,4217.0
370.0,-1.8400000000000034,41,4407.0
375.0,-2.0700000000000003,47,4623.0
380.0,-2.0700000000000003,52,4529.0
385.0,1.8000000000000043,56,4261.0
390.0,1.8000000000000043,51,4509.0
395.0,-2.0400000000000063,41,4468.0
400.0,-2.0400000000000063,28,4107.0
405.0,4.520000000000003,13,4150.0
410.0,-1.0700000000000003,28,4240.0
415.0,-1.0700000000000003,33,3882.0
420.0,4.689999999999998,32,3809.0
425.0,4.689999999999998,36,3880.0
430.0,-1.9799999999999969,38,4024.0
435.0,-1.9799999999999969,37,3803.0
440.0,2.1099999999999994,41,3633.0
445.0,2.1099999999999994,38,3824.0
450.0,-0.9200000000000017,39,3761.0
455.0,1.4400000000000048,35,3715.0
460.0,2.6499999999999986,32,3351.0
465.0,2.6499999999999986,28,3199.0
470.0,1.5700000000000003,31,3319.0
475.0,1.5700000000000003,36,3450.0
480.0,-2.6700000000000017,41,3427.0
485.0,-2.6700000000000017,34,3187.0
490.0,4.48,41,2730.0
495.0,3.039999999999999,39,2920.0
500.0,3.039999999999999,24,2842.0
505.0,-0.6900000000000013,28,2707.0
510.0,0.3000000000000007,31,2843.0
515.0,-1.6899999999999977,36,3017.0
520.0,-1.860000000000003,41,3208.0
525.0,-1.860000000000003,51,3151.0
530.0,0.6800000000000033,60,3217.0
535.0,0.6800000000000033,57,3444.0
540.0,-4.449999999999999,54,3439.0
545.0,-4.449999999999999,45,3418.0
550.0,3.049999999999997,39,3181.0
555.0,3.049999999999997,38,3371.0
560.0,-1.3200000000000003,34,3518.0
565.0,-3.039999999999999,41,3716.0
570.0,-3.039999999999999,38,3698.0
575.0,-1.3699999999999974,47,3903.0
580.0,-2.490000000000002,60,4175.0
585.0,-2.490000000000002,56,4450.0
590.0,-5.020000000000003,59,4499.0
595.0,-5.020000000000003,64,4565.0
600.0,1.4400000000000048,59,4353.0
605.0,1.4400000000000048,45,4585.0
610.0,-1.6600000000000037,33,4566.0
615.0,-0.75,33,4693.0
620.0,-0.75,29,4526.0
625.0,1.9299999999999997,34,4533.0
630.0,1.9299999999999997,43,4708.0
635.0,-3.3599999999999994,52,4953.0
640.0,-2.509999999999998,56,5197.0
645.0,-2.509999999999998,55,5173.0
650.0,-0.4399999999999977,57,4920.0
655.0,3.6799999999999997,52,4944.0
660.0,3.6799999999999997,42,4625.0
665.0,1.0499999999999972,31,4541.0
670.0,-0.3999999999999986,32,4696.0
675.0,-0.3999999999999986,27,4773.0
680.0,-2.0600000000000023,43,4951.0
