step_time;reward;total_stopped;total_wait_time
05.00;;0;00.00
10.00;00.00;0;00.00
15.00;00.00;0;00.00
20.00;00.00;7;19.00
25.00.00;-0.19;10;34.00.00
30.00.00;-0.22999999999999998;6;48.00.00
35.00.00;-0.32;8;82.00.00
40.00.00;-0.32;7;66.00.00
45.00.00;-0.010000000000000009;10;93.00.00
50.00.00;-0.010000000000000009;6;78.00.00
55.00.00;0.19999999999999996;11;47.00.00
60.00.00;-0.019999999999999907;11;81.00.00
65.00.00;-0.019999999999999907;17;129.00.00
70.00.00;-0.92;20;184.00.00
75.00.00;-0.92;10;189.00.00
80.00.00;-0.3999999999999999;10;160.00.00
85.00.00;0.2699999999999998;14;172.00.00
90.00.00;0.2699999999999998;7;147.00.00
95.00.00;-0.16999999999999993;18;214.00.00
100.00.00;-0.16999999999999993;17;226.00.00
105.00.00;-0.3900000000000001;8;213.00.00
110.00.00;-0.3900000000000001;13;220.00.00
115.00.00;-0.16999999999999993;15;252.00.00
120.00.00;-0.16999999999999993;15;295.00.00
125.00.00;-0.6000000000000001;17;294.00.00
130.00.00;-0.3099999999999996;21;347.00.00
135.00.00;-0.3099999999999996;12;304.00.00
140.00.00;0.13999999999999968;17;345.00.00
145.00.00;0.13999999999999968;23;344.00.00
150.00.00;-0.71;23;404.00.00
155.00.00;-0.71;17;426.00.00
160.00.00;-0.41999999999999993;16;428.00.00
165.00.00;-0.41999999999999993;17;440.00.00
170.00.00;-0.15000000000000036;18;479.00.00
175.00.00;-0.71;23;532.00.00
180.00.00;-0.71;24;540.00.00
185.00.00;-0.47999999999999954;22;601.00.00
190.00.00;-0.47999999999999954;14;524.00.00
195.00.00;0.6099999999999994;17;503.00.00
200.00.00;0.6099999999999994;19;556.00.00
205.00.00;-0.7599999999999998;24;592.00.00
210.00.00;-0.7599999999999998;17;591.00.00
215.00.00;-0.16999999999999993;12;573.00.00
220.00.00;0.3200000000000003;22;578.00.00
225.00.00;0.3200000000000003;17;605.00.00
230.00.00;-10.899.999.999.999.900;26;716.00.00
235.00.00;-10.899.999.999.999.900;24;711.00.00
240.00.00;-0.41999999999999993;22;650.00.00
245.00.00;-0.41999999999999993;16;609.00.00
250.00.00;0.8499999999999996;19;643.00.00
255.00.00;0.8499999999999996;24;728.00.00
260.00.00;-10.300.000.000.000.000;24;745.00.00
265.00.00;-0.13999999999999968;17;759.00.00
270.00.00;-0.13999999999999968;17;718.00.00
275.00.00;0.5499999999999998;19;667.00.00
280.00.00;0.03000000000000025;25;720.00.00
285.00.00;0.03000000000000025;30;765.00.00
290.00.00;-1.42;34;876.00.00
295.00.00;-1.42;27;909.00.00
300.00.00;-10.999.999.999.999.900;21;862.00.00
305.00.00;-10.999.999.999.999.900;13;836.00.00
310.00.00;01.00;26;873.00.00
315.00.00;-0.370000000000001;29;802.00.00
320.00.00;0.8600000000000003;23;774.00.00
325.00.00;-0.08000000000000007;44;825.00.00
330.00.00;-0.08000000000000007;40;933.00.00
335.00.00;-21.100.000.000.000.000;41;1088.00.00
340.00.00;-21.100.000.000.000.000;47;1106.00.00
345.00.00;-1.129.999.999.999.990;46;1208.00.00
350.00.00;-1.129.999.999.999.990;33;1305.00.00
355.00.00;-21.900.000.000.000.000;25;1368.00.00
360.00.00;-21.900.000.000.000.000;30;1397.00.00
365.00.00;-0.5899999999999999;27;1377.00.00
370.00.00;0.2400000000000002;19;1391.00.00
375.00.00;0.2400000000000002;13;1358.00.00
380.00.00;0.3000000000000007;22;1385.00.00
385.00.00;0.3000000000000007;18;1343.00.00
390.00.00;-0.3000000000000007;26;1370.00.00
395.00.00;-0.3000000000000007;22;1339.00.00
400.00.00;0.5800000000000001;20;1290.00.00
405.00.00;0.5800000000000001;21;1262.00.00
410.00.00;0.5300000000000011;20;1277.00.00
415.00.00;-0.5600000000000005;28;1344.00.00
420.00.00;-0.5600000000000005;24;1300.00.00
425.00.00;0.4800000000000004;22;1312.00.00
430.00.00;0.4800000000000004;14;1195.00.00
435.00.00;0.7899999999999991;22;1155.00.00
440.00.00;0.7899999999999991;19;1215.00.00
445.00.00;-0.2400000000000002;29;1221.00.00
450.00.00;-0.2400000000000002;22;1160.00.00
455.00.00;0.5500000000000007;21;1104.00.00
460.00.00;0.8399999999999999;17;1093.00.00
465.00.00;0.8399999999999999;21;1071.00.00
470.00.00;-0.46000000000000085;25;1172.00.00
475.00.00;-0.46000000000000085;23;1101.00.00
480.00.00;0.5600000000000005;22;994.00.00
485.00.00;0.5600000000000005;17;943.00.00
490.00.00;10.500.000.000.000.000;21;973.00.00
495.00.00;10.500.000.000.000.000;27;1066.00.00
500.00.00;-10.500.000.000.000.000;30;1052.00.00
505.00.00;-0.3000000000000007;28;1120.00.00
510.00.00;-0.3000000000000007;15;1006.00.00
515.00.00;13.900.000.000.000.000;15;915.00.00
520.00.00;0.41000000000000014;26;943.00.00
525.00.00;0.41000000000000014;28;868.00.00
530.00.00;10.899.999.999.999.900;29;776.00.00
535.00.00;-0.08999999999999986;39;860.00.00
540.00.00;-0.08999999999999986;37;912.00.00
545.00.00;-13.499.999.999.999.900;43;1018.00.00
550.00.00;-13.499.999.999.999.900;41;1165.00.00
555.00.00;-21.400.000.000.000.000;37;1202.00.00
560.00.00;-0.7699999999999996;25;1267.00.00
565.00.00;-0.7699999999999996;14;1203.00.00
570.00.00;0.5700000000000003;21;1225.00.00
575.00.00;0.5700000000000003;18;1190.00.00
580.00.00;-0.3100000000000005;24;1210.00.00
585.00.00;-0.3100000000000005;19;1147.00.00
590.00.00;00.05;13;1148.00.00
595.00.00;00.05;16;1142.00.00
600.00.00;0.2400000000000002;23;1159.00.00
605.00.00;-0.7599999999999998;24;1242.00.00
610.00.00;-0.7599999999999998;23;1207.00.00
615.00.00;0.15000000000000036;20;1241.00.00
620.00.00;0.15000000000000036;13;1117.00.00
625.00.00;12.599.999.999.999.900;21;1048.00.00
630.00.00;12.599.999.999.999.900;22;1111.00.00
635.00.00;-0.47000000000000064;31;1158.00.00
640.00.00;-0.47000000000000064;26;1110.00.00
645.00.00;0.14000000000000057;21;1110.00.00
650.00.00;0.02999999999999936;22;1128.00.00
655.00.00;0.02999999999999936;19;1113.00.00
660.00.00;-0.6400000000000006;29;1225.00.00
665.00.00;-0.6400000000000006;23;1185.00.00
670.00.00;0.22000000000000064;24;1073.00.00
675.00.00;0.22000000000000064;19;1016.00.00
680.00.00;01.17;18;1020.00.00
685.00.00;01.17;26;1084.00.00
690.00.00;-0.5199999999999996;26;1048.00.00
695.00.00;0.22000000000000064;25;1086.00.00
700.00.00;0.22000000000000064;21;1052.00.00
705.00.00;0.3099999999999987;23;1004.00.00
710.00.00;0.14000000000000057;31;1057.00.00
715.00.00;0.14000000000000057;30;1086.00.00
720.00.00;-13.200.000.000.000.000;38;1198.00.00
725.00.00;-13.200.000.000.000.000;33;1263.00.00
730.00.00;-1.129.999.999.999.990;24;1174.00.00
735.00.00;-1.129.999.999.999.990;20;1154.00.00
740.00.00;01.08;33;1204.00.00
745.00.00;-0.5;31;1081.00.00
750.00.00;15.999.999.999.999.900;29;1073.00.00
755.00.00;0.4299999999999997;39;1003.00.00
760.00.00;0.4299999999999997;40;1070.00.00
765.00.00;-14.299.999.999.999.900;46;1231.00.00
770.00.00;-14.299.999.999.999.900;42;1264.00.00
775.00.00;-1.67;49;1392.00.00
780.00.00;-1.67;35;1392.00.00
785.00.00;-11.400.000.000.000.000;23;1442.00.00
790.00.00;-11.400.000.000.000.000;24;1447.00.00
795.00.00;-0.22000000000000064;24;1474.00.00
800.00.00;-0.4900000000000002;25;1521.00.00
805.00.00;-0.4900000000000002;23;1483.00.00
810.00.00;0.47000000000000064;24;1495.00.00
815.00.00;0.47000000000000064;17;1453.00.00
820.00.00;0.2900000000000009;19;1380.00.00
825.00.00;0.2900000000000009;23;1438.00.00
830.00.00;-0.20000000000000107;29;1470.00.00
835.00.00;-0.20000000000000107;20;1396.00.00
840.00.00;0.4399999999999995;16;1320.00.00
845.00.00;0.9200000000000017;22;1325.00.00
850.00.00;0.9200000000000017;24;1292.00.00
855.00.00;-0.5300000000000011;28;1412.00.00
860.00.00;-0.5300000000000011;23;1356.00.00
865.00.00;0.5600000000000005;29;1217.00.00
870.00.00;0.5600000000000005;14;1181.00.00
875.00.00;1.049.999.999.999.990;24;1173.00.00
880.00.00;0.2900000000000009;31;1138.00.00
885.00.00;0.2900000000000009;30;1038.00.00
890.00.00;12.899.999.999.999.900;36;1044.00.00
895.00.00;-0.05999999999999872;41;1077.00.00
900.00.00;-12.800.000.000.000.000;47;1218.00.00
