step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,-0.11,6,17.0
25.0,-0.11,7,27.0
30.0,-0.29000000000000004,8,56.0
35.0,-0.44999999999999996,11,106.0
40.0,-0.44999999999999996,11,105.0
45.0,-0.42000000000000004,12,129.0
50.0,-0.42000000000000004,4,147.0
55.0,-0.24,18,136.0
60.0,-0.24,17,204.0
65.0,-0.53,17,229.0
70.0,-0.41999999999999993,6,252.0
75.0,-0.41999999999999993,14,274.0
80.0,0.020000000000000018,10,266.0
85.0,0.020000000000000018,11,255.0
90.0,-0.33000000000000007,18,261.0
95.0,-0.33000000000000007,14,304.0
100.0,-0.31999999999999984,15,295.0
105.0,-0.31999999999999984,13,235.0
110.0,0.7399999999999998,13,282.0
115.0,-0.9099999999999997,18,342.0
120.0,-0.9099999999999997,18,340.0
125.0,-0.30000000000000027,16,386.0
130.0,-0.30000000000000027,11,358.0
135.0,0.040000000000000036,21,377.0
140.0,0.040000000000000036,20,447.0
145.0,-1.1599999999999997,33,487.0
150.0,-1.1599999999999997,22,523.0
155.0,-0.5500000000000007,14,446.0
160.0,0.7100000000000009,20,471.0
165.0,0.7100000000000009,17,506.0
170.0,-1.0900000000000007,25,610.0
175.0,-1.0900000000000007,20,612.0
180.0,-0.4899999999999993,17,575.0
185.0,-0.4899999999999993,16,594.0
190.0,-0.010000000000000675,16,642.0
195.0,-0.010000000000000675,20,672.0
200.0,-0.6099999999999994,25,671.0
205.0,-0.5,19,740.0
210.0,-0.5,17,634.0
215.0,0.9699999999999998,20,667.0
220.0,0.9699999999999998,22,702.0
225.0,-1.1600000000000001,28,750.0
230.0,-1.1600000000000001,18,762.0
235.0,-0.39999999999999947,25,730.0
240.0,-0.39999999999999947,19,761.0
245.0,0.1999999999999993,22,814.0
250.0,-1.21,30,912.0
255.0,-1.21,25,916.0
260.0,-0.6400000000000006,21,989.0
265.0,-0.6400000000000006,14,836.0
270.0,1.3600000000000012,20,809.0
275.0,1.3600000000000012,23,919.0
280.0,-1.370000000000001,30,999.0
285.0,-1.370000000000001,26,1016.0
290.0,-0.6899999999999995,24,1051.0
295.0,-0.34999999999999964,24,999.0
300.0,-0.41000000000000014,33,1125.0
305.0,-0.41000000000000014,45,1178.0
310.0,-1.7300000000000004,48,1362.0
315.0,-1.7300000000000004,37,1376.0
320.0,-1.8899999999999988,37,1459.0
325.0,-1.8899999999999988,40,1547.0
330.0,-1.290000000000001,34,1573.0
335.0,-1.290000000000001,33,1611.0
340.0,-0.27999999999999936,26,1699.0
345.0,-1.5,32,1793.0
350.0,-1.5,33,1779.0
355.0,-0.4499999999999993,24,1805.0
360.0,-0.370000000000001,28,1901.0
365.0,-0.370000000000001,22,1706.0
370.0,2.0199999999999996,27,1663.0
375.0,2.0199999999999996,32,1781.0
380.0,-1.7399999999999984,41,1854.0
385.0,-1.7399999999999984,30,1903.0
390.0,-0.8800000000000026,28,1963.0
395.0,-0.5999999999999979,27,1894.0
400.0,-0.5,38,2049.0
405.0,-0.5,42,2043.0
410.0,-1.0600000000000023,44,2206.0
415.0,-1.0600000000000023,38,2029.0
420.0,1.6500000000000021,24,1973.0
425.0,1.6500000000000021,25,2069.0
430.0,-1.4299999999999997,38,2089.0
435.0,-1.4299999999999997,30,2143.0
440.0,-0.46000000000000085,21,2065.0
445.0,-0.08000000000000185,28,2177.0
450.0,-0.08000000000000185,32,2124.0
455.0,-0.23999999999999844,39,2253.0
460.0,-0.23999999999999844,37,2212.0
465.0,-1.1000000000000014,36,2237.0
470.0,-1.1000000000000014,33,2279.0
475.0,-0.28999999999999915,37,2264.0
480.0,-0.28999999999999915,34,2421.0
485.0,-1.0700000000000003,37,2360.0
490.0,-0.259999999999998,40,2487.0
495.0,-0.259999999999998,33,2453.0
500.0,-1.1099999999999994,39,2634.0
505.0,-1.1099999999999994,43,2555.0
510.0,-0.010000000000001563,40,2487.0
515.0,-0.010000000000001563,37,2662.0
520.0,-1.379999999999999,39,2641.0
525.0,-1.379999999999999,37,2664.0
530.0,0.3299999999999983,40,2653.0
535.0,-1.5,36,2850.0
540.0,-1.5,33,2720.0
545.0,0.5899999999999999,40,2833.0
550.0,0.5899999999999999,33,2824.0
555.0,-1.3900000000000006,36,2777.0
560.0,-1.3900000000000006,40,2838.0
565.0,0.5800000000000018,39,2804.0
570.0,0.5800000000000018,36,2962.0
575.0,-1.2600000000000016,34,2810.0
580.0,0.8100000000000023,41,2920.0
585.0,0.8100000000000023,34,2917.0
590.0,-1.360000000000003,37,3089.0
595.0,-1.360000000000003,37,2933.0
600.0,0.9100000000000001,40,2869.0
605.0,0.9100000000000001,39,3046.0
610.0,-1.5899999999999999,36,3000.0
615.0,-1.5899999999999999,39,3008.0
620.0,0.7700000000000031,38,3032.0
625.0,-1.6300000000000026,39,3209.0
630.0,-1.6300000000000026,38,3067.0
635.0,0.7899999999999991,43,3175.0
640.0,0.7899999999999991,37,3183.0
645.0,-1.6700000000000017,40,3138.0
650.0,-1.6700000000000017,37,3151.0
655.0,0.6900000000000048,38,3173.0
660.0,0.6900000000000048,43,3344.0
665.0,-1.5399999999999991,37,3187.0
670.0,1.0700000000000003,39,3276.0
675.0,1.0700000000000003,37,3269.0
680.0,-1.480000000000004,36,3457.0
685.0,-1.480000000000004,42,3274.0
