step_time;reward;total_stopped;total_wait_time
05.00;;0;00.00
10.00;00.00;0;00.00
15.00;00.00;0;00.00
20.00;-0.11;6;17.00
25.00.00;-0.11;7;27.00.00
30.00.00;-0.29000000000000004;8;56.00.00
35.00.00;-0.44999999999999996;11;106.00.00
40.00.00;-0.44999999999999996;11;105.00.00
45.00.00;-0.42000000000000004;12;129.00.00
50.00.00;-0.42000000000000004;4;147.00.00
55.00.00;-0.24;18;136.00.00
60.00.00;-0.24;17;204.00.00
65.00.00;-0.53;17;229.00.00
70.00.00;-0.41999999999999993;6;252.00.00
75.00.00;-0.41999999999999993;14;274.00.00
80.00.00;0.020000000000000018;10;266.00.00
85.00.00;0.020000000000000018;11;255.00.00
90.00.00;-0.33000000000000007;18;261.00.00
95.00.00;-0.33000000000000007;14;304.00.00
100.00.00;-0.31999999999999984;15;295.00.00
105.00.00;-0.31999999999999984;13;235.00.00
110.00.00;0.7399999999999998;13;282.00.00
115.00.00;-0.9099999999999997;18;342.00.00
120.00.00;-0.9099999999999997;18;340.00.00
125.00.00;-0.30000000000000027;16;386.00.00
130.00.00;-0.30000000000000027;11;358.00.00
135.00.00;0.040000000000000036;21;377.00.00
140.00.00;0.040000000000000036;20;447.00.00
145.00.00;-11.599.999.999.999.900;33;487.00.00
150.00.00;-11.599.999.999.999.900;22;523.00.00
155.00.00;-0.5500000000000007;14;446.00.00
160.00.00;0.7100000000000009;20;471.00.00
165.00.00;0.7100000000000009;17;506.00.00
170.00.00;-10.900.000.000.000.000;25;610.00.00
175.00.00;-10.900.000.000.000.000;20;612.00.00
180.00.00;-0.4899999999999993;17;575.00.00
185.00.00;-0.4899999999999993;16;594.00.00
190.00.00;-0.010000000000000675;16;642.00.00
195.00.00;-0.010000000000000675;20;672.00.00
200.00.00;-0.6099999999999994;25;671.00.00
205.00.00;-0.5;19;740.00.00
210.00.00;-0.5;17;634.00.00
215.00.00;0.9699999999999998;20;667.00.00
220.00.00;0.9699999999999998;22;702.00.00
225.00.00;-11.600.000.000.000.000;28;750.00.00
230.00.00;-11.600.000.000.000.000;18;762.00.00
235.00.00;-0.39999999999999947;25;730.00.00
240.00.00;-0.39999999999999947;19;761.00.00
245.00.00;0.1999999999999993;22;814.00.00
250.00.00;-1.21;30;912.00.00
255.00.00;-1.21;25;916.00.00
260.00.00;-0.6400000000000006;21;989.00.00
265.00.00;-0.6400000000000006;14;836.00.00
270.00.00;13.600.000.000.000.000;20;809.00.00
275.00.00;13.600.000.000.000.000;23;919.00.00
280.00.00;-1.370.000.000.000.000;30;999.00.00
285.00.00;-1.370.000.000.000.000;26;1016.00.00
290.00.00;-0.6899999999999995;24;1051.00.00
295.00.00;-0.34999999999999964;24;999.00.00
300.00.00;-0.41000000000000014;33;1125.00.00
305.00.00;-0.41000000000000014;45;1178.00.00
310.00.00;-17.300.000.000.000.000;48;1362.00.00
315.00.00;-17.300.000.000.000.000;37;1376.00.00
320.00.00;-18.899.999.999.999.900;37;1459.00.00
325.00.00;-18.899.999.999.999.900;40;1547.00.00
330.00.00;-1.290.000.000.000.000;34;1573.00.00
335.00.00;-1.290.000.000.000.000;33;1611.00.00
340.00.00;-0.27999999999999936;26;1699.00.00
345.00.00;-1.5;32;1793.00.00
350.00.00;-1.5;33;1779.00.00
355.00.00;-0.4499999999999993;24;1805.00.00
360.00.00;-0.370000000000001;28;1901.00.00
365.00.00;-0.370000000000001;22;1706.00.00
370.00.00;20.199.999.999.999.900;27;1663.00.00
375.00.00;20.199.999.999.999.900;32;1781.00.00
380.00.00;-17.399.999.999.999.900;41;1854.00.00
385.00.00;-17.399.999.999.999.900;30;1903.00.00
390.00.00;-0.8800000000000026;28;1963.00.00
395.00.00;-0.5999999999999979;27;1894.00.00
400.00.00;-0.5;38;2049.00.00
405.00.00;-0.5;42;2043.00.00
410.00.00;-10.600.000.000.000.000;44;2206.00.00
415.00.00;-10.600.000.000.000.000;38;2029.00.00
420.00.00;16.500.000.000.000.000;24;1973.00.00
425.00.00;16.500.000.000.000.000;25;2069.00.00
430.00.00;-14.299.999.999.999.900;38;2089.00.00
435.00.00;-14.299.999.999.999.900;30;2143.00.00
440.00.00;-0.46000000000000085;21;2065.00.00
445.00.00;-0.08000000000000185;28;2177.00.00
450.00.00;-0.08000000000000185;32;2124.00.00
455.00.00;-0.23999999999999844;39;2253.00.00
460.00.00;-0.23999999999999844;37;2212.00.00
465.00.00;-11.000.000.000.000.000;36;2237.00.00
470.00.00;-11.000.000.000.000.000;33;2279.00.00
475.00.00;-0.28999999999999915;37;2264.00.00
480.00.00;-0.28999999999999915;34;2421.00.00
485.00.00;-10.700.000.000.000.000;37;2360.00.00
490.00.00;-0.259999999999998;40;2487.00.00
495.00.00;-0.259999999999998;33;2453.00.00
500.00.00;-11.099.999.999.999.900;39;2634.00.00
505.00.00;-11.099.999.999.999.900;43;2555.00.00
510.00.00;-0.010000000000001563;40;2487.00.00
515.00.00;-0.010000000000001563;37;2662.00.00
520.00.00;-1.379.999.999.999.990;39;2641.00.00
525.00.00;-1.379.999.999.999.990;37;2664.00.00
530.00.00;0.3299999999999983;40;2653.00.00
535.00.00;-1.5;36;2850.00.00
540.00.00;-1.5;33;2720.00.00
545.00.00;0.5899999999999999;40;2833.00.00
550.00.00;0.5899999999999999;33;2824.00.00
555.00.00;-13.900.000.000.000.000;36;2777.00.00
560.00.00;-13.900.000.000.000.000;40;2838.00.00
565.00.00;0.5800000000000018;39;2804.00.00
570.00.00;0.5800000000000018;36;2962.00.00
575.00.00;-12.600.000.000.000.000;34;2810.00.00
580.00.00;0.8100000000000023;41;2920.00.00
585.00.00;0.8100000000000023;34;2917.00.00
590.00.00;-1.360.000.000.000.000;37;3089.00.00
595.00.00;-1.360.000.000.000.000;37;2933.00.00
600.00.00;0.9100000000000001;40;2869.00.00
605.00.00;0.9100000000000001;39;3046.00.00
610.00.00;-15.899.999.999.999.900;36;3000.00.00
615.00.00;-15.899.999.999.999.900;39;3008.00.00
620.00.00;0.7700000000000031;38;3032.00.00
625.00.00;-16.300.000.000.000.000;39;3209.00.00
630.00.00;-16.300.000.000.000.000;38;3067.00.00
635.00.00;0.7899999999999991;43;3175.00.00
640.00.00;0.7899999999999991;37;3183.00.00
645.00.00;-16.700.000.000.000.000;40;3138.00.00
650.00.00;-16.700.000.000.000.000;37;3151.00.00
655.00.00;0.6900000000000048;38;3173.00.00
660.00.00;0.6900000000000048;43;3344.00.00
665.00.00;-15.399.999.999.999.900;37;3187.00.00
670.00.00;10.700.000.000.000.000;39;3276.00.00
675.00.00;10.700.000.000.000.000;37;3269.00.00
680.00.00;-1.480.000.000.000.000;36;3457.00.00
685.00.00;-1.480.000.000.000.000;42;3274.00.00
690.00.00;12.000.000.000.000.000;42;3215.00.00
695.00.00;12.000.000.000.000.000;40;3387.00.00
700.00.00;-15.900.000.000.000.000;37;3287.00.00
705.00.00;-15.900.000.000.000.000;36;3277.00.00
710.00.00;14.699.999.999.999.900;38;3257.00.00
715.00.00;-13.099.999.999.999.900;40;3446.00.00
720.00.00;-13.099.999.999.999.900;36;3263.00.00
725.00.00;11.700.000.000.000.000;44;3374.00.00
730.00.00;11.700.000.000.000.000;35;3377.00.00
735.00.00;-16.100.000.000.000.000;41;3293.00.00
740.00.00;-16.100.000.000.000.000;34;3294.00.00
745.00.00;12.100.000.000.000.000;44;3315.00.00
750.00.00;12.100.000.000.000.000;41;3500.00.00
755.00.00;-16.899.999.999.999.900;39;3291.00.00
760.00.00;1.509.999.999.999.990;42;3389.00.00
765.00.00;1.509.999.999.999.990;37;3401.00.00
770.00.00;-16.699.999.999.999.900;41;3597.00.00
775.00.00;-16.699.999.999.999.900;37;3373.00.00
780.00.00;15.399.999.999.999.900;42;3293.00.00
785.00.00;15.399.999.999.999.900;38;3472.00.00
790.00.00;-1.5;38;3364.00.00
795.00.00;-1.5;36;3360.00.00
800.00.00;1.519.999.999.999.990;36;3364.00.00
805.00.00;-12.800.000.000.000.000;37;3524.00.00
810.00.00;-12.800.000.000.000.000;34;3296.00.00
815.00.00;17.000.000.000.000.000;40;3397.00.00
820.00.00;17.000.000.000.000.000;38;3400.00.00
825.00.00;-15.900.000.000.000.000;39;3287.00.00
830.00.00;-15.900.000.000.000.000;36;3298.00.00
835.00.00;14.400.000.000.000.000;38;3321.00.00
840.00.00;14.400.000.000.000.000;37;3482.00.00
845.00.00;-1.490.000.000.000.000;37;3271.00.00
850.00.00;14.699.999.999.999.900;37;3371.00.00
855.00.00;14.699.999.999.999.900;41;3378.00.00
860.00.00;-15.799.999.999.999.900;38;3570.00.00
