step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,-0.18,8,26.0
25.0,-0.44,13,71.0
30.0,-0.4900000000000001,11,122.0
35.0,-0.6299999999999999,14,188.0
40.0,-0.76,21,267.0
45.0,-0.9100000000000001,19,360.0
50.0,-0.9500000000000002,21,457.0
55.0,-1.1499999999999995,33,580.0
60.0,-1.4500000000000002,31,727.0
65.0,-1.5699999999999994,33,886.0
70.0,-1.6500000000000004,35,1053.0
75.0,-1.8499999999999996,39,1242.0
80.0,-1.950000000000001,39,1437.0
85.0,-1.9699999999999989,45,1636.0
90.0,-2.1799999999999997,47,1860.0
95.0,-2.4499999999999993,51,2109.0
100.0,-2.610000000000003,55,2372.0
105.0,-2.6999999999999993,58,2647.0
110.0,-2.9299999999999997,60,2941.0
115.0,-3.009999999999998,63,3244.0
120.0,-3.0500000000000043,61,3549.0
125.0,-3.1199999999999974,65,3865.0
130.0,-3.3299999999999983,67,4200.0
135.0,-3.3500000000000014,67,4535.0
140.0,-3.3500000000000014,68,4871.0
145.0,-3.4399999999999977,74,5216.0
150.0,-3.450000000000003,69,5561.0
155.0,-3.4499999999999957,69,5906.0
160.0,-3.539999999999999,75,6266.0
165.0,-3.75,75,6641.0
170.0,-3.75,75,7016.0
175.0,-3.760000000000005,79,7394.0
180.0,-3.8499999999999943,77,7779.0
185.0,-3.8500000000000085,77,8164.0
190.0,-3.8499999999999943,77,8549.0
195.0,-3.930000000000007,81,8946.0
200.0,-4.1299999999999955,83,9361.0
205.0,-4.150000000000006,85,9776.0
210.0,-4.1499999999999915,85,10193.0
215.0,-4.25,85,10618.0
220.0,-4.25,87,11043.0
225.0,-4.25,74,10639.0
230.0,4.599999999999994,68,10638.0
235.0,4.599999999999994,61,10079.0
240.0,7.230000000000004,53,9906.0
245.0,7.230000000000004,53,9350.0
250.0,3.75,48,9240.0
255.0,3.75,37,8591.0
260.0,8.090000000000003,30,8319.0
265.0,4.659999999999997,37,8159.0
270.0,4.659999999999997,43,7587.0
275.0,8.260000000000005,40,7379.0
280.0,8.260000000000005,37,7176.0
285.0,3.069999999999993,43,6772.0
290.0,3.069999999999993,42,6918.0
295.0,0.8599999999999994,48,7032.0
300.0,-1.3999999999999915,65,7226.0
305.0,-2.470000000000013,79,7561.0
310.0,-3.4799999999999898,83,7969.0
315.0,-4.109999999999999,83,8384.0
320.0,-4.150000000000006,84,8801.0
325.0,-4.179999999999993,88,9221.0
330.0,-4.200000000000003,82,9290.0
335.0,-4.200000000000003,67,8908.0
340.0,3.969999999999999,54,8685.0
345.0,10.25,53,7935.0
350.0,10.25,50,7862.0
355.0,1.5900000000000034,53,7826.0
360.0,1.5900000000000034,36,7199.0
365.0,9.429999999999993,40,6855.0
370.0,9.429999999999993,31,6549.0
375.0,1.980000000000004,40,6416.0
380.0,1.980000000000004,40,5646.0
385.0,9.369999999999997,45,5613.0
390.0,0.6000000000000014,37,5623.0
395.0,0.6000000000000014,35,5431.0
400.0,0.8200000000000003,49,5576.0
405.0,-1.75,54,5760.0
410.0,-2.450000000000003,71,6051.0
415.0,-3.489999999999995,85,6434.0
420.0,-4.100000000000001,83,6849.0
425.0,-4.150000000000006,83,7264.0
430.0,-4.200000000000003,85,7688.0
435.0,-4.200000000000003,69,7508.0
440.0,1.8500000000000085,55,6937.0
445.0,1.8500000000000085,51,7186.0
450.0,0.9899999999999949,54,7442.0
455.0,-2.6299999999999955,59,7485.0
460.0,-2.6299999999999955,55,7343.0
465.0,1.539999999999992,53,6707.0
470.0,10.160000000000004,51,6378.0
475.0,10.160000000000004,46,6419.0
480.0,-0.509999999999998,42,6459.0
485.0,-0.509999999999998,35,5746.0
490.0,11.350000000000001,42,5320.0
495.0,11.350000000000001,36,5224.0
500.0,-0.1700000000000017,42,5104.0
505.0,-0.1700000000000017,53,5232.0
510.0,0.28000000000000114,52,5419.0
515.0,-1.8699999999999974,61,5659.0
520.0,-2.4000000000000057,73,5990.0
525.0,-3.309999999999995,82,6385.0
530.0,-3.950000000000003,81,6790.0
535.0,-4.050000000000004,84,7198.0
540.0,-4.079999999999998,83,7612.0
545.0,-4.140000000000001,83,8027.0
550.0,-4.1499999999999915,76,7847.0
555.0,2.4799999999999898,63,7842.0
560.0,2.4799999999999898,53,7708.0
565.0,-0.8199999999999932,55,7968.0
570.0,-2.6599999999999966,56,8236.0
575.0,-2.6599999999999966,53,8091.0
580.0,1.0300000000000011,56,7834.0
585.0,1.0300000000000011,54,7207.0
590.0,7.61999999999999,52,7450.0
595.0,7.61999999999999,48,7363.0
600.0,-1.009999999999991,38,6752.0
605.0,9.219999999999999,39,6479.0
610.0,9.219999999999999,37,6512.0
615.0,-0.3100000000000023,33,6532.0
620.0,-0.3100000000000023,40,5917.0
625.0,9.199999999999996,44,5628.0
630.0,9.199999999999996,35,5705.0
635.0,-1.519999999999996,40,5511.0
640.0,-1.519999999999996,41,5628.0
645.0,0.759999999999998,49,5763.0
650.0,-1.3500000000000014,56,5973.0
655.0,-2.0999999999999943,70,6264.0
660.0,-2.9100000000000037,74,6618.0
665.0,-3.5400000000000063,79,7004.0
670.0,-3.8599999999999994,81,7409.0
675.0,-4.049999999999997,81,7814.0
680.0,-4.049999999999997,83,8227.0
685.0,-4.1299999999999955,89,8642.0
690.0,-4.150000000000006,77,8486.0
