step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,-0.09,6,15.0
25.0,-0.09,8,29.0
30.0,-0.31999999999999995,6,52.0
35.0,-0.32,10,91.0
40.0,-0.48,16,143.0
45.0,-0.48,8,120.0
50.0,-0.16999999999999993,10,130.0
55.0,-0.16999999999999993,11,159.0
60.0,-0.33000000000000007,12,154.0
65.0,-0.33000000000000007,11,117.0
70.0,0.54,10,116.0
75.0,0.010000000000000009,10,143.0
80.0,-0.1100000000000001,15,142.0
85.0,-0.1100000000000001,13,163.0
90.0,-0.44999999999999996,14,197.0
95.0,-0.44999999999999996,16,204.0
100.0,-0.30000000000000004,20,226.0
105.0,-0.30000000000000004,15,262.0
110.0,-0.6200000000000001,20,307.0
115.0,-0.6200000000000001,17,333.0
120.0,-0.69,17,367.0
125.0,-0.33999999999999986,19,300.0
130.0,0.25,20,362.0
135.0,-0.4500000000000002,22,409.0
140.0,-0.4500000000000002,21,450.0
145.0,-0.9900000000000002,33,534.0
150.0,-0.9900000000000002,19,496.0
155.0,-0.54,25,539.0
160.0,-0.2599999999999998,31,619.0
165.0,-0.9100000000000001,31,691.0
170.0,-0.9100000000000001,29,783.0
175.0,-1.0899999999999999,27,736.0
180.0,-1.0899999999999999,21,779.0
185.0,-0.1299999999999999,24,846.0
190.0,0.41999999999999993,21,758.0
195.0,0.41999999999999993,22,758.0
200.0,0.1900000000000004,26,768.0
205.0,0.1900000000000004,30,765.0
210.0,-0.8200000000000003,34,821.0
215.0,-0.8200000000000003,37,911.0
220.0,-0.7100000000000009,41,904.0
225.0,-0.7099999999999991,34,914.0
230.0,-0.7099999999999991,28,974.0
235.0,-0.3200000000000003,37,1015.0
240.0,-0.41000000000000014,32,1002.0
245.0,-0.17999999999999972,27,1060.0
250.0,-0.17999999999999972,25,993.0
255.0,0.019999999999999574,32,1094.0
260.0,0.019999999999999574,29,1095.0
265.0,-0.6799999999999997,39,1062.0
270.0,-0.6799999999999997,31,1115.0
275.0,-0.47000000000000064,41,1200.0
280.0,-0.47000000000000064,33,1145.0
285.0,0.010000000000001563,33,1139.0
290.0,-0.2400000000000002,30,1161.0
295.0,0.41999999999999993,27,1122.0
300.0,0.41999999999999993,22,1106.0
305.0,0.23000000000000043,32,1166.0
310.0,0.23000000000000043,31,1169.0
315.0,-0.5900000000000016,31,1123.0
320.0,-0.5900000000000016,27,1127.0
325.0,0.41999999999999993,41,1164.0
330.0,0.41999999999999993,28,1217.0
335.0,-0.9599999999999991,33,1212.0
340.0,-0.33000000000000007,36,1219.0
345.0,-0.13000000000000078,32,1269.0
350.0,-0.13000000000000078,29,1276.0
355.0,-0.02999999999999936,31,1244.0
360.0,0.120000000000001,40,1334.0
365.0,0.120000000000001,33,1365.0
370.0,-1.1500000000000004,33,1317.0
375.0,-1.1500000000000004,32,1373.0
380.0,0.03999999999999915,34,1424.0
385.0,0.03999999999999915,37,1510.0
390.0,-1.4499999999999993,41,1456.0
395.0,-0.3100000000000005,37,1578.0
400.0,-0.3100000000000005,35,1619.0
405.0,-1.6999999999999993,43,1796.0
410.0,-2.219999999999999,48,2028.0
415.0,-2.219999999999999,48,2016.0
420.0,-0.8500000000000014,49,2076.0
425.0,-0.879999999999999,62,2154.0
430.0,-1.1600000000000001,61,2353.0
435.0,-2.0,56,2509.0
440.0,-1.6700000000000017,58,2703.0
445.0,-2.0,56,2926.0
450.0,-2.34,60,3179.0
455.0,-2.7900000000000027,63,3488.0
460.0,-3.0999999999999943,61,3587.0
465.0,-3.0999999999999943,48,3627.0
470.0,0.46999999999999886,38,3719.0
475.0,0.46999999999999886,31,3470.0
480.0,0.9499999999999957,22,3365.0
485.0,2.780000000000001,33,3225.0
490.0,0.860000000000003,42,3148.0
495.0,0.860000000000003,44,3114.0
500.0,0.6600000000000001,41,2919.0
505.0,1.879999999999999,49,2662.0
510.0,3.1999999999999993,44,2535.0
515.0,3.1999999999999993,31,2462.0
520.0,0.7100000000000009,42,2401.0
525.0,0.7100000000000009,31,2319.0
530.0,1.120000000000001,33,2300.0
535.0,1.120000000000001,31,2293.0
540.0,0.5599999999999987,36,2196.0
545.0,0.3099999999999987,39,2300.0
550.0,0.3099999999999987,38,2245.0
555.0,-0.11999999999999744,36,2346.0
560.0,-0.11999999999999744,36,2271.0
565.0,-0.33999999999999986,40,2271.0
570.0,-0.33999999999999986,37,2326.0
575.0,-0.10000000000000142,33,2233.0
580.0,-0.10000000000000142,43,2364.0
585.0,-0.46000000000000085,43,2320.0
590.0,-0.00999999999999801,33,2360.0
595.0,-0.15000000000000213,38,2389.0
600.0,-0.15000000000000213,37,2180.0
605.0,0.8900000000000006,35,2360.0
610.0,0.8900000000000006,35,2216.0
615.0,2.370000000000001,31,2113.0
620.0,2.370000000000001,26,2167.0
625.0,-1.4200000000000017,31,2076.0
630.0,-1.4200000000000017,30,2160.0
635.0,0.35999999999999943,44,2348.0
640.0,-1.879999999999999,46,2291.0
645.0,-0.34999999999999787,43,2426.0
650.0,-0.34999999999999787,47,2277.0
655.0,0.3299999999999983,41,2431.0
660.0,0.3299999999999983,27,2351.0
665.0,0.9899999999999984,26,2330.0
670.0,0.9899999999999984,33,2370.0
675.0,-0.629999999999999,29,2287.0
680.0,-0.629999999999999,28,2412.0
685.0,-0.9800000000000004,43,2585.0
