step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,-0.15,7,22.0
25.0,-0.15,8,31.0
30.0,-0.30000000000000004,8,59.0
35.0,-0.30000000000000004,5,78.0
40.0,-0.43,12,112.0
45.0,-0.42000000000000004,10,105.0
50.0,-0.42000000000000004,7,112.0
55.0,0.1100000000000001,15,146.0
60.0,0.1100000000000001,16,137.0
65.0,-0.18000000000000016,17,131.0
70.0,-0.15999999999999992,10,163.0
75.0,-0.15999999999999992,6,155.0
80.0,-0.21999999999999997,17,206.0
85.0,-0.21999999999999997,12,200.0
90.0,-0.07000000000000006,10,190.0
95.0,-0.2699999999999998,21,259.0
100.0,-0.9500000000000002,26,301.0
105.0,-0.9500000000000002,16,276.0
110.0,0.14000000000000012,14,266.0
115.0,0.08000000000000007,12,272.0
120.0,0.08000000000000007,10,221.0
125.0,0.6099999999999999,14,185.0
130.0,0.009999999999999787,21,241.0
135.0,0.009999999999999787,10,235.0
140.0,-0.41999999999999993,18,295.0
145.0,-0.41999999999999993,23,298.0
150.0,-0.33999999999999986,13,312.0
155.0,-0.25,19,317.0
160.0,-0.25,24,350.0
165.0,-0.5300000000000002,27,422.0
170.0,-0.5299999999999994,23,486.0
175.0,-0.5299999999999994,19,475.0
180.0,-0.4800000000000004,24,448.0
185.0,-0.20999999999999996,26,522.0
190.0,-0.20999999999999996,19,532.0
195.0,-0.7999999999999998,20,615.0
200.0,-0.7999999999999998,19,595.0
205.0,-0.10000000000000053,24,598.0
210.0,-0.10999999999999943,23,611.0
215.0,-0.4500000000000002,28,636.0
220.0,-0.4500000000000002,37,696.0
225.0,-0.11000000000000032,34,653.0
230.0,-0.35999999999999943,30,783.0
235.0,-0.35999999999999943,26,744.0
240.0,-0.5500000000000007,23,737.0
245.0,-0.4899999999999993,25,817.0
250.0,-0.4899999999999993,16,819.0
255.0,-0.0600000000000005,25,843.0
260.0,-0.0600000000000005,23,875.0
265.0,-0.9000000000000004,25,853.0
270.0,-0.9000000000000004,23,798.0
275.0,0.6600000000000001,27,884.0
280.0,0.6600000000000001,31,966.0
285.0,-1.4299999999999997,24,1034.0
290.0,-0.6799999999999997,25,982.0
295.0,-0.07000000000000028,37,1046.0
300.0,-0.07000000000000028,33,1029.0
305.0,0.5600000000000005,26,1036.0
310.0,0.5600000000000005,27,1044.0
315.0,-0.6300000000000008,24,997.0
320.0,-0.6300000000000008,20,959.0
325.0,0.7000000000000011,35,1035.0
330.0,0.7000000000000011,22,959.0
335.0,0.1899999999999995,30,994.0
340.0,-0.6699999999999999,27,1052.0
345.0,-0.6699999999999999,26,1074.0
350.0,-0.34999999999999964,30,1117.0
355.0,-0.34999999999999964,31,1083.0
360.0,-0.3500000000000014,32,1110.0
365.0,-0.3500000000000014,28,1213.0
370.0,-0.9899999999999984,29,1156.0
375.0,-0.9899999999999984,23,1121.0
380.0,0.7399999999999984,32,1198.0
385.0,0.1800000000000015,27,1130.0
390.0,0.1800000000000015,27,1126.0
395.0,-0.5899999999999999,32,1219.0
400.0,-0.5899999999999999,23,1115.0
405.0,0.02999999999999936,30,1191.0
410.0,0.02999999999999936,25,1219.0
415.0,-0.16000000000000014,34,1209.0
420.0,-0.16000000000000014,30,1254.0
425.0,-0.7899999999999991,28,1130.0
430.0,1.049999999999999,22,1171.0
435.0,1.049999999999999,26,1181.0
440.0,-0.7899999999999991,34,1292.0
445.0,-0.7899999999999991,28,1200.0
450.0,-0.27000000000000135,35,1303.0
455.0,-0.27000000000000135,35,1358.0
460.0,-0.41000000000000014,35,1350.0
465.0,-0.41000000000000014,33,1425.0
470.0,-1.2899999999999991,31,1315.0
475.0,0.7100000000000009,24,1378.0
480.0,0.7100000000000009,22,1351.0
485.0,0.05999999999999872,34,1413.0
490.0,0.05999999999999872,32,1456.0
495.0,-1.2799999999999994,37,1398.0
500.0,-1.2799999999999994,23,1461.0
505.0,-0.08000000000000007,29,1531.0
510.0,-0.08000000000000007,29,1550.0
515.0,-0.6600000000000001,35,1624.0
520.0,-1.1999999999999993,36,1704.0
525.0,-1.1999999999999993,30,1563.0
530.0,0.9499999999999993,27,1629.0
535.0,0.9499999999999993,23,1513.0
540.0,1.8399999999999999,28,1376.0
545.0,1.8399999999999999,26,1338.0
550.0,0.22000000000000064,42,1447.0
555.0,0.22000000000000064,44,1536.0
560.0,-1.67,48,1628.0
565.0,-1.6099999999999994,34,1731.0
570.0,-1.6099999999999994,33,1708.0
575.0,-0.7200000000000024,39,1847.0
580.0,-0.7200000000000024,38,1881.0
585.0,-1.259999999999998,32,1809.0
590.0,-1.259999999999998,28,1768.0
595.0,0.9699999999999989,33,1854.0
600.0,0.9699999999999989,28,1696.0
605.0,1.0199999999999996,36,1657.0
610.0,0.39000000000000057,41,1593.0
615.0,0.03999999999999915,47,1700.0
620.0,0.03999999999999915,50,1720.0
625.0,-1.1400000000000006,50,1866.0
630.0,-1.1400000000000006,39,1885.0
635.0,-1.0599999999999987,32,1860.0
640.0,-1.0599999999999987,27,1874.0
645.0,-0.3000000000000007,30,1907.0
650.0,-0.3000000000000007,28,1912.0
655.0,-0.08999999999999986,31,1849.0
660.0,0.370000000000001,29,1903.0
665.0,0.370000000000001,25,1779.0
670.0,1.2300000000000004,24,1799.0
675.0,1.2300000000000004,25,1725.0
